,date,GE,Loyalist,->Green,->Reform
1,2014-02-25,False,6.256192104833931,4.160671094505643,4.507815167848943
2,2014-05-28,False,6.2716560236513725,5.149642969533969,4.324153792352123
3,2014-09-25,False,6.377783368338972,5.314224240728711,4.771725392085629
4,2015-03-15,False,6.69730047365859,5.705764860196871,5.086855766937134
5,2015-04-18,True,6.91408961559847,6.027636082649982,5.119959196855362
6,2015-05-10,True,6.826796210056812,6.448266469245207,4.740663284977668
7,2016-04-25,False,6.594587894489855,6.563058123729242,4.928745821761541
8,2016-05-30,False,6.749187057047913,6.7760842083650905,4.836163230605798
9,2016-06-26,False,6.478829674894141,6.450296806050477,4.813541006655789
10,2016-12-02,False,6.424961315161588,6.367527297507424,4.817659254406273
11,2017-04-27,True,6.752441991889402,6.744426914228915,4.923693196029475
12,2017-05-22,True,6.975329491086054,7.188953383765616,5.262239035621117
13,2017-06-13,True,7.496930662789054,7.894013291243522,5.84919709211476
14,2018-05-11,False,6.73182980246319,6.768639752335903,5.083474496771501
15,2019-03-19,False,6.035795355347242,5.838647915819192,4.439742227834495
16,2019-05-31,False,5.841194226493966,5.524092636345641,4.000158148628107
17,2019-11-06,True,6.299396520541888,6.315015161331123,4.089136331320824
18,2019-11-27,True,6.479206253385546,6.792366285907746,4.329856969227802
19,2019-12-17,True,6.50135933221184,6.553998809088825,4.2936382814515115
20,2020-06-11,False,7.139285783955786,6.7336088273586805,5.138737302736153
21,2021-05-13,False,6.786074938658196,6.103902892219137,5.0691291756131145
22,2021-12-03,False,6.894417244397339,6.007187599259183,5.235689018356942
23,2022-05-13,False,7.126956674746439,6.369371120458538,5.463646661259312
24,2022-12-08,False,7.288799841256379,6.123521440128731,6.07432085871175
25,2023-05-15,False,7.2406076868290485,6.213869207688046,6.076838380702591
26,2024-05-12,False,7.365876522256255,6.081406112654335,6.2357924820969775
27,2024-05-31,True,7.402901717545412,6.351496734996586,6.369390038018452
28,2024-06-21,True,7.51395616270854,6.259113437745587,6.373785614216271
29,2024-07-08,True,7.578567060822644,6.391470783815981,6.592075431556348
30,2025-05-10,False,7.099950088874852,4.306916306494867,2.8925127142370326
