region,deprived_lads,population,nonwhite_pct_pop_wtd,pct_urban_pop_wtd
East Midlands,17,2824821.0,18.032712551460893,75.65428039511175
West Midlands,16,4124773.0,30.746464182982095,98.37283166855485
