quarter,treated,control
q4_2024,0.26187888817521987,0.2463488961349811
q1_2025,0.2848459638738463,0.2783474235909876
q2_2025,0.36320600175158724,0.3516557664144307
q3_2025,0.3847426787078472,0.3659479852895207
q4_2025,0.3748429655593472,0.35823436356044436
