sample,outcome,treatment,spec,estimate_type,treated_mean,control_mean,diff_pp,p_value,n_treated
all_midlands,reform_uk_share,treat_mean,nn_deprivation,matched,0.3810204094744202,0.3520739898649277,2.8946419609492455,0.036834723736236336,31
all_midlands,reform_uk_share,treat_mean,nn_deprivation_caliper,matched,0.37663869425658714,0.3624852881461506,1.4153406110436528,0.5137523709257871,14
all_midlands,reform_uk_share,treat_mean,nn_propensity_caliper,matched,0.36973237200973863,0.3624852881461506,0.7247083863588022,0.730735539548464,14
all_midlands,reform_uk_share,treat_mean,subclass_quintile,adjusted,0.38102040947442006,0.34566469930800525,1.416633600965597,0.38240828450608877,31
all_midlands,reform_uk_share,treat_mean,ipw,adjusted,0.38102040947442006,0.34566469930800525,1.6823250828034102,0.24457076842829822,31
all_midlands,reform_uk_share,treat_mean,ancova,adjusted,0.38102040947442006,0.34566469930800525,1.8186113167594553,0.24386763771128264,31
all_midlands,reform_uk_share,treat_median,nn_deprivation,matched,0.38019461046606906,0.34617712399944944,3.4017486466619618,0.01625056487744041,32
all_midlands,reform_uk_share,treat_median,nn_deprivation_caliper,matched,0.3726294878138167,0.36309224560299386,0.953724221082286,0.6777256652725521,13
all_midlands,reform_uk_share,treat_median,nn_propensity_caliper,matched,0.36884221933545164,0.36309224560299386,0.574997373245778,0.8002255863918122,13
all_midlands,reform_uk_share,treat_median,subclass_quintile,adjusted,0.38019461046606906,0.3453940889474239,1.1878979319448142,0.4778412264419535,32
all_midlands,reform_uk_share,treat_median,ipw,adjusted,0.38019461046606906,0.3453940889474239,1.7017891506397715,0.25020903563548375,32
all_midlands,reform_uk_share,treat_median,ancova,adjusted,0.38019461046606906,0.3453940889474239,1.6733869382461064,0.29121043525235807,32
low_immigration,reform_uk_share,treat_mean,nn_deprivation,matched,0.38651948712160566,0.3622915789671892,2.4227908154416444,0.09847059005435138,22
low_immigration,reform_uk_share,treat_mean,nn_deprivation_caliper,matched,0.36290273183401356,0.3848912846913598,-2.1988552857346244,0.40540469735406326,10
low_immigration,reform_uk_share,treat_mean,nn_propensity_caliper,matched,0.3681730704213174,0.3848912846913598,-1.6718214270042386,0.537148083548272,10
low_immigration,reform_uk_share,treat_mean,subclass_quintile,adjusted,0.3865194871216055,0.3569426226161199,-1.0709461666193485,0.3664275141350408,22
low_immigration,reform_uk_share,treat_mean,ipw,adjusted,0.3865194871216055,0.3569426226161199,-2.329540932936161,0.14052484289949982,22
low_immigration,reform_uk_share,treat_mean,ancova,adjusted,0.3865194871216055,0.3569426226161199,-1.3153455186117786,0.21226920030111968,22
low_immigration,reform_uk_share,treat_median,nn_deprivation,matched,0.38236087540696284,0.35981528370008947,2.2545591706873367,0.12948226603031654,23
low_immigration,reform_uk_share,treat_median,nn_deprivation_caliper,matched,0.35635443054772326,0.37878069666292596,-2.242626611520271,0.3804013801292936,11
low_immigration,reform_uk_share,treat_median,nn_propensity_caliper,matched,0.3611456474452723,0.37878069666292596,-1.7635049217653687,0.5017247228301622,11
low_immigration,reform_uk_share,treat_median,subclass_quintile,adjusted,0.38236087540696273,0.3598152837000895,-1.3996939922663467,0.2214011178808923,23
low_immigration,reform_uk_share,treat_median,ipw,adjusted,0.38236087540696273,0.3598152837000895,-2.3202898639680067,0.14157927277312926,23
low_immigration,reform_uk_share,treat_median,ancova,adjusted,0.38236087540696273,0.3598152837000895,-1.7894883904121264,0.07973056718178663,23
all_midlands,reform_change,treat_mean,nn_deprivation,matched,0.1150618948441761,0.1141079299995545,0.09539648446215965,0.9105668619553449,31
all_midlands,reform_change,treat_mean,nn_deprivation_caliper,matched,0.11148159603351608,0.11332687670042721,-0.18452806669111282,0.8928139094223067,14
all_midlands,reform_change,treat_mean,nn_propensity_caliper,matched,0.11155670774414213,0.11332687670042721,-0.17701689562850814,0.8958526111161904,14
all_midlands,reform_change,treat_mean,subclass_quintile,adjusted,0.1150618948441761,0.11236376062340209,0.6756471081797153,0.5116288105086365,31
all_midlands,reform_change,treat_mean,ipw,adjusted,0.1150618948441761,0.11236376062340209,0.45384250739647714,0.5645511461060324,31
all_midlands,reform_change,treat_mean,ancova,adjusted,0.1150618948441761,0.11236376062340209,0.09866930700181749,0.9201033559364629,31
all_midlands,reform_change,treat_median,nn_deprivation,matched,0.11630330114186638,0.11027583231610642,0.6027468825759954,0.47391514707430327,32
all_midlands,reform_change,treat_median,nn_deprivation_caliper,matched,0.10943697121399118,0.11013764441813202,-0.0700673204140842,0.9606777888905544,13
all_midlands,reform_change,treat_median,nn_propensity_caliper,matched,0.11394399332707193,0.11013764441813202,0.38063489089399105,0.7851796731868297,13
all_midlands,reform_change,treat_median,subclass_quintile,adjusted,0.11630330114186639,0.11107821105531532,1.2813834738225136,0.22516498702517956,32
all_midlands,reform_change,treat_median,ipw,adjusted,0.11630330114186639,0.11107821105531532,0.7883228679582206,0.30669367808196624,32
all_midlands,reform_change,treat_median,ancova,adjusted,0.11630330114186639,0.11107821105531532,0.4486539893822318,0.6529144418977726,32
low_immigration,reform_change,treat_mean,nn_deprivation,matched,0.11212001702150771,0.11037636132137275,0.17436557001349606,0.87107566450436,22
low_immigration,reform_change,treat_mean,nn_deprivation_caliper,matched,0.11316214684203858,0.11364649291258258,-0.04843460705439978,0.9775554582741119,10
low_immigration,reform_change,treat_mean,nn_propensity_caliper,matched,0.1134606294061798,0.11364649291258258,-0.018586350640277527,0.9914803369997466,10
low_immigration,reform_change,treat_mean,subclass_quintile,adjusted,0.11212001702150771,0.10957385680232828,0.7752749482692521,0.5553487809994384,22
low_immigration,reform_change,treat_mean,ipw,adjusted,0.11212001702150771,0.10957385680232828,0.572082655959251,0.5757001761544323,22
low_immigration,reform_change,treat_mean,ancova,adjusted,0.11212001702150771,0.10957385680232828,0.5262632806778292,0.6682682912059291,22
low_immigration,reform_change,treat_median,nn_deprivation,matched,0.11019375179748192,0.11138941940812884,-0.11956676106469194,0.9096276277707861,23
low_immigration,reform_change,treat_median,nn_deprivation_caliper,matched,0.1090397622990273,0.11456568252963596,-0.5525920230608661,0.7322351394527977,11
low_immigration,reform_change,treat_median,nn_propensity_caliper,matched,0.10931111008461024,0.11456568252963596,-0.5254572445025724,0.747498240553857,11
