pool,treated,control,gap,p,n,adjustment
"Comparable areas
in the Midlands",0.37008865610228364,0.3442584203529186,0.02583023574936505,0.05037427081953387,25,all areas
"Comparable areas in
the rest of England",0.3739442990339059,0.2611576220278053,0.11278667700610062,3.302277344035599e-10,40,all areas
"Comparable areas
in the Midlands",0.36089483404750217,0.35679543178636597,0.004099402261136198,0.7733597640744091,19,<=13% foreign-born
"Comparable areas in
the rest of England",0.3811458687230092,0.32448189794053,0.0566639707824792,7.027164454271462e-05,27,<=13% foreign-born
