region,dep_band,n,to_green_pct,to_reform_pct
East Midlands,Low,331,12.17078313119715,6.68855819166173
East Midlands,Mid,263,11.76991697658624,4.964557362627417
East Midlands,High,167,13.706747908498324,6.2177322960290535
West Midlands,Low,172,8.573957448775055,6.429610801949827
West Midlands,Mid,228,10.198970654610642,9.326317827875746
West Midlands,High,316,6.385157973694278,9.873916886269969
