region,funding_£,funding_%_of_midlands,population,pop_%_of_midlands,avg_deprivation_hh_wtd,avg_deprivation_lad_mean,nonwhite_pct_pop_wtd,pct_urban_pop_wtd
East Midlands,1825031501.0,47.42514101821718,5063164.0,45.00443007730947,0.7378155178972428,0.7204988325646339,14.410085269123167,67.32959864622201
West Midlands,2023204818.0,52.57485898178281,6187204.0,54.99556992269052,0.7871801394198632,0.7412480378721525,22.978978782256355,82.6651262832129
