region,deprivation,reform
East Midlands,0.7378155178972428,0.35988119603256913
East of England,0.7032385807077441,0.3173696593026104
London,0.7604298010779248,0.21949088997723493
North East,0.8044445691947312,0.3590662465580679
North West,0.7908892673847754,0.30949438083749437
South East,0.6625476665608359,0.2726216274473762
South West,0.6946918740806226,0.29837046363941944
West Midlands,0.7871801394198632,0.3369903607867624
Yorkshire and The Humber,0.7912456389651594,0.32069680735847483
