name,total_speeches,immigration_speeches,immigration_speech_proportion,reform_alignment,hardline_ratio,radicalization_slope,trend_strength,current_alignment,starting_alignment,alignment_change,extremism_percentile
Jamie Wallis,82,4,0.0488,0.2865,0.0476,0.0074,0.0434,0.0,0.0,0.0,98.6
Paul Holmes,384,13,0.0339,0.1099,0.2903,0.0009,0.0069,0.0,0.0,0.0,22.2
Richard Graham,679,59,0.0869,0.1895,0.1892,0.0044,0.1318,0.346,0.0,0.346,66.3
Richard Drax,363,33,0.0909,0.2317,0.4286,0.0012,0.009,0.0,0.0,0.0,89.6
Antony Higginbotham,210,14,0.0667,0.1865,0.3529,-0.003,0.031,0.0,0.0,0.0,64.7
Amanda Solloway,331,2,0.006,0.2481,0.1,-0.0011,0.0066,0.0,0.0,0.0,93.7
Jane Stevenson,136,15,0.1103,0.2117,0.3846,0.0032,0.0168,0.0,0.1282,-0.1282,81.1
Virginia Crosbie,254,14,0.0551,0.1239,0.2593,-0.0061,0.2174,0.063,0.1874,-0.1244,30.7
Charles Walker,269,6,0.0223,0.177,0.3333,-0.0031,0.0847,0.0,0.3808,-0.3808,60.5
David Rutley,588,15,0.0255,0.1003,0.0909,-0.0002,0.0003,0.0,0.0,0.0,17.8
David T. C. Davies,629,27,0.0429,0.1353,0.2903,0.0006,0.0059,0.0,0.0165,-0.0165,37.8
Chris Clarkson,200,12,0.06,0.2067,0.25,0.0008,0.0018,0.0,0.0,0.0,78.1
Graham Brady,107,1,0.0093,0.0509,0.1765,-0.0004,0.0296,0.0,0.0,0.0,3.0
Shaun Bailey,172,13,0.0756,0.2033,0.2973,-0.0052,0.0707,0.0,0.0,0.0,75.6
Alberto Costa,239,6,0.0251,0.2165,0.4545,-0.0023,0.0904,0.0,0.0,0.0,83.0
Mary Robinson,280,13,0.0464,0.0761,-0.0345,0.0008,0.0133,0.0,0.0,0.0,7.1
Chris Philp,1616,276,0.1708,0.2115,0.3714,0.0041,0.1465,0.3014,0.0,0.3014,80.8
Desmond Swayne,1083,27,0.0249,0.1827,0.3143,0.0015,0.0226,0.0,0.0,0.0,63.6
Jane Hunt,161,5,0.0311,0.2059,0.3043,-0.0003,0.0006,0.0,0.0,0.0,77.8
Julian Smith,298,6,0.0201,0.0317,-0.1304,-0.0002,0.0101,0.0,0.0,0.0,1.6
Boris Johnson,5213,184,0.0353,0.1511,0.2982,0.0049,0.1906,0.0,0.0,0.0,47.7
Nigel Huddleston,902,10,0.0111,0.1026,0.2414,-0.0012,0.0353,0.0,0.0,0.0,19.7
Ranil Jayawardena,331,9,0.0272,0.117,0.2,-0.0001,0.0001,0.0,0.0,0.0,26.8
Guy Opperman,656,2,0.003,0.1194,0.4783,0.0013,0.1125,0.0,0.0,0.0,27.7
Fay Jones,155,13,0.0839,0.0742,0.1111,-0.0051,0.2287,0.0,0.0,0.0,6.8
Mike Penning,467,13,0.0278,0.044,0.1667,0.0003,0.0018,0.1182,0.0,0.1182,2.2
Robert Largan,167,1,0.006,0.1678,0.04,0.0004,0.0012,0.0,0.0,0.0,55.6
Maggie Throup,451,14,0.031,0.1741,0.3333,0.0032,0.0769,0.0,0.0,0.0,58.1
Esther McVey,481,12,0.0249,0.21,0.4,0.0031,0.1029,0.0,0.0,0.0,80.0
Lucy Allan,190,2,0.0105,0.0707,0.1,-0.0011,0.1071,0.0,0.1414,-0.1414,5.8
Alan Mak,250,2,0.008,0.1216,0.0,0.0005,0.026,0.0,0.0,0.0,29.6
Caroline Nokes,1873,160,0.0854,0.2128,0.2727,-0.0025,0.0957,0.0,0.0,0.0,81.9
Robert Goodwill,444,45,0.1014,0.1796,0.25,-0.0007,0.0046,0.0,0.0,0.0,62.5
Victoria Atkins,1418,67,0.0472,0.113,0.1765,0.0,0.0,0.0,0.0,0.0,24.1
