name,total_speeches,immigration_speeches,immigration_speech_proportion,reform_alignment,hardline_ratio,radicalization_slope,trend_strength,current_alignment,starting_alignment,alignment_change,extremism_percentile
John Redwood,1012,70,0.0692,0.1613,0.4667,0.0001,0.0,0.3889,0.0,0.3889,52.6
Angela Richardson,124,10,0.0806,0.1355,0.2667,0.0006,0.0009,0.0,0.0,0.0,38.4
Shailesh Vara,246,13,0.0528,0.1352,-0.0526,0.004,0.1352,0.0,0.0,0.0,37.5
Gavin Williamson,1730,24,0.0139,0.1207,0.1875,0.0008,0.0071,0.0,0.0,0.0,28.8
Tim Loughton,677,103,0.1521,0.2209,0.3,0.0061,0.3921,0.2347,0.0496,0.1851,86.8
Ben Everitt,188,6,0.0319,0.2569,0.3571,-0.0053,0.0714,0.0,0.0,0.0,95.9
Julian Sturdy,127,2,0.0157,0.0879,0.0,0.0004,0.015,0.0,0.0,0.0,12.9
David Duguid,388,20,0.0515,0.1895,0.0769,-0.0007,0.0044,0.2005,0.0,0.2005,66.6
Robert Jenrick,1748,419,0.2397,0.3055,0.3889,0.0057,0.3011,0.0,0.0,0.0,99.2
John Baron,339,23,0.0678,0.1634,0.1852,0.0005,0.0016,0.177,0.095,0.082,53.7
John Whittingdale,594,28,0.0471,0.1904,0.2,-0.0022,0.0946,0.0,0.2368,-0.2368,66.8
Craig Williams,148,15,0.1014,0.0466,0.1111,-0.0002,0.0004,0.0,0.0,0.0,2.5
Peter Aldous,438,12,0.0274,0.2214,0.2571,-0.0024,0.0603,0.0,0.0,0.0,87.4
Craig Mackinlay,210,19,0.0905,0.1545,0.28,0.0051,0.1397,0.0,0.0,0.0,50.1
Dean Russell,203,8,0.0394,0.1389,0.1875,-0.0019,0.023,0.0,0.0,0.0,40.8
Trudy Harrison,272,4,0.0147,0.2033,0.0769,-0.0024,0.0381,0.0,0.1613,-0.1613,75.3
Dan Poulter,122,2,0.0164,0.0248,0.2941,-0.0003,0.1035,0.0,0.0,0.0,1.1
James Daly,275,16,0.0582,0.2127,0.2308,0.0129,0.3163,0.2385,0.0,0.2385,81.6
Sarah Atherton,141,6,0.0426,0.0133,0.0667,-0.0003,0.0454,0.0,0.0,0.0,0.8
David Davis,1510,100,0.0662,0.1971,0.2549,-0.0029,0.0679,0.0,0.3043,-0.3043,71.0
Rachel Maclean,858,19,0.0221,0.2184,0.2857,0.0004,0.0005,0.3493,0.0,0.3493,85.5
Mims Davies,915,14,0.0153,0.1568,0.125,0.0016,0.0724,0.0,0.0,0.0,51.0
Richard Fuller,562,23,0.0409,0.1972,0.2632,-0.001,0.01,0.0,0.0,0.0,71.2
Priti Patel,1692,313,0.185,0.113,0.3235,0.0001,0.0001,0.0,0.0,0.0,24.4
Alex Chalk,1020,34,0.0333,0.171,0.3043,0.002,0.0428,0.2164,0.0,0.2164,57.3
Robin Walker,1101,56,0.0509,0.1156,0.0909,-0.0031,0.2138,0.0,0.0,0.0,25.8
Brandon Lewis,877,54,0.0616,0.1274,0.2093,0.0002,0.0006,0.0,0.0,0.0,34.0
Paul Howell,170,4,0.0235,0.1351,0.1818,0.0027,0.0245,0.0,0.0,0.0,37.3
Adam Holloway,118,7,0.0593,0.1438,-0.0435,0.0043,0.0258,0.0,0.0,0.0,43.3
Kevin Hollinrake,1546,40,0.0259,0.1312,0.2609,-0.0011,0.0158,0.0,0.0,0.0,35.6
James Sunderland,397,16,0.0403,0.2188,0.2308,-0.0091,0.1841,0.0,0.0,0.0,86.0
Mark Pawsey,432,9,0.0208,0.1598,0.0,-0.0008,0.0085,0.0,0.0,0.0,52.3
Jacob Young,420,23,0.0548,0.2371,0.1905,-0.0014,0.0024,0.0,0.0,0.0,91.8
Darren Henry,101,3,0.0297,0.0789,0.0833,0.0,0.0,0.0,0.0,0.0,7.9
Alun Cairns,745,40,0.0537,0.0902,0.1613,-0.0002,0.0008,0.0,0.0,0.0,14.0
Paul Scully,980,23,0.0235,0.1342,0.1905,-0.0009,0.0096,0.0,0.2061,-0.2061,37.0
Robert Halfon,802,19,0.0237,0.1018,0.1667,0.0005,0.004,0.0,0.0,0.0,18.9
Jonathan Lord,31,1,0.0323,0.087,-0.3333,-0.0003,0.0038,0.0,0.0,0.0,12.1
Derek Thomas,187,9,0.0481,0.1971,0.25,-0.0014,0.0232,0.0,0.0,0.0,70.7
Gordon Henderson,76,3,0.0395,0.2359,0.5556,0.003,0.0667,0.0,0.0,0.0,91.2
Aaron Bell,376,28,0.0745,0.2245,0.4468,-0.0043,0.0404,0.0,0.0,0.0,87.9
Elizabeth Truss,1645,39,0.0237,0.1286,0.2558,0.0058,0.1827,0.43,0.0,0.43,34.5
Marco Longhi,305,26,0.0852,0.2104,0.3143,0.0089,0.1514,0.3313,0.0,0.3313,80.5
Oliver Heald,311,6,0.0193,0.0867,0.1034,0.0006,0.0141,0.0,0.0,0.0,11.8
Duncan Baker,285,16,0.0561,0.1844,0.2105,-0.0008,0.0017,0.0,0.0,0.0,63.8
Dominic Raab,2459,143,0.0582,0.1701,0.2245,-0.0008,0.0078,0.0,0.0574,-0.0574,56.7
Greg Knight,139,0,0.0,0.0,0.4,0.0,,0.0,0.0,0.0,0.0
Michael Gove,2670,92,0.0345,0.1092,0.1628,0.0001,0.0001,0.0,0.0,0.0,21.9
Laurence Robertson,270,9,0.0333,0.1765,0.3077,0.0013,0.0212,0.0,0.0,0.0,60.3
Fiona Bruce,424,13,0.0307,0.1421,0.1795,0.0003,0.0018,0.0,0.0,0.0,42.7
Kemi Badenoch,1203,45,0.0374,0.2193,0.2766,0.0034,0.0743,0.0,0.0861,-0.0861,86.3
Julian Lewis,1289,47,0.0365,0.1214,0.3469,0.0015,0.049,0.0,0.0,0.0,29.3
Paul Maynard,394,6,0.0152,0.1382,0.12,-0.0011,0.031,0.0,0.0,0.0,40.0
James Grundy,70,3,0.0429,0.095,0.4118,-0.0008,0.0052,0.0,0.0,0.0,16.2
Stephen Barclay,673,27,0.0401,0.0861,-0.0435,0.0129,0.349,0.224,0.0,0.224,11.2
Chris Grayling,1653,76,0.046,0.1382,0.0286,-0.0027,0.1079,0.0,0.0,0.0,39.7
James Davies,252,12,0.0476,0.1125,0.3636,0.0022,0.0474,0.0,0.0,0.0,23.8
Danny Kruger,349,30,0.086,0.1955,0.3043,0.0027,0.03,0.0,0.0,0.0,69.3
Nicola Richards,114,6,0.0526,0.2144,0.4783,-0.0116,0.3173,0.0,0.0,0.0,82.7
Kit Malthouse,1436,26,0.0181,0.1034,0.1163,0.0014,0.0617,0.0,0.0,0.0,20.3
Tracey Crouch,181,7,0.0387,0.2309,0.0323,-0.0035,0.0569,0.0,0.0,0.0,89.0
Karl McCartney,174,2,0.0115,0.1798,0.0526,-0.0008,0.0039,0.0,0.0,0.0,62.7
Adam Afriyie,98,2,0.0204,0.1237,0.3333,0.0002,0.0032,0.0,0.0,0.0,30.4
Bob Stewart,680,29,0.0426,0.1251,0.0,0.0012,0.011,0.0,0.0,0.0,32.6
Alexander Stafford,455,43,0.0945,0.2196,0.4,0.0024,0.015,0.1135,0.0,0.1135,86.6
David Warburton,51,1,0.0196,0.2057,0.0667,-0.0009,0.0071,0.0,0.0,0.0,77.5
David Mundell,771,61,0.0791,0.1778,0.1333,-0.0007,0.009,0.0,0.1653,-0.1653,60.8
Luke Hall,281,2,0.0071,0.1081,0.0,0.0,0.0,0.0,0.0,0.0,21.6
David Evennett,271,11,0.0406,0.1993,0.0435,0.0038,0.1177,0.2048,0.0,0.2048,73.4
Flick Drummond,288,11,0.0382,0.1628,0.3333,-0.0007,0.0032,0.0,0.0,0.0,53.2
Maria Miller,574,13,0.0226,0.125,0.1892,-0.0021,0.0526,0.0,0.0,0.0,32.3
Scott Mann,196,14,0.0714,0.2429,0.0,-0.0023,0.0128,0.0,0.249,-0.249,92.9
Stuart Anderson,194,5,0.0258,0.0695,-0.0667,-0.0059,0.0674,0.0972,0.0,0.0972,5.2
Greg Hands,856,31,0.0362,0.0821,0.25,0.0037,0.1274,0.2095,0.0,0.2095,9.3
Christian Wakeford,262,13,0.0496,0.171,0.1176,-0.0042,0.1308,0.0,0.0,0.0,57.0
Philip Davies,471,23,0.0488,0.1658,0.3529,-0.0012,0.0133,0.1802,0.0,0.1802,54.8
Brendan Clarke-Smith,160,19,0.1187,0.2171,0.375,-0.0047,0.0391,0.0,0.1342,-0.1342,83.8
Jeremy Wright,630,27,0.0429,0.1448,0.1765,0.001,0.0263,0.0,0.0,0.0,43.8
James Morris,127,3,0.0236,0.1589,0.1111,-0.0026,0.0578,0.0,0.0,0.0,52.1
Martin Vickers,655,13,0.0198,0.1866,0.3846,-0.0012,0.0229,0.0,0.0,0.0,64.9
James Cartlidge,1167,39,0.0334,0.2088,0.3529,-0.0005,0.0035,0.0955,0.0,0.0955,79.2
Rob Butler,339,12,0.0354,0.1469,0.2258,0.0033,0.0427,0.0,0.0,0.0,44.9
Mark Pritchard,288,14,0.0486,0.175,0.1613,0.0024,0.0628,0.0,0.0,0.0,58.6
Lia Nici,133,12,0.0902,0.1979,0.2,0.0102,0.1687,0.0,0.0,0.0,72.9
Jeremy Hunt,2127,22,0.0103,0.1862,0.2105,-0.0032,0.1641,0.0,0.0,0.0,64.1
Rehman Chishti,286,22,0.0769,0.1788,0.0667,0.0039,0.1104,0.0,0.0,0.0,62.2
Robert Syms,129,12,0.093,0.2576,0.2593,0.0066,0.18,0.0,0.0,0.0,96.2
Damian Collins,269,35,0.1301,0.1976,0.2121,0.0021,0.0411,0.1357,0.1206,0.0151,72.6
Andrew Lewer,137,3,0.0219,0.1399,0.1579,0.0014,0.04,0.0,0.0,0.0,41.1
