model_name,cv_auc_mean,cv_auc_std,full_auc,precision,recall,f1
Random Forest,0.7385507246376811,0.07847852236519293,0.9953570284982389,0.6666666666666666,0.8888888888888888,0.7619047619047619
Gradient Boosting,0.6812939958592132,0.0805202415255788,1.0,1.0,1.0,1.0
Composite (Optimized),0.5963146997929606,0.0,0.600544348382965,0.06593406593406594,0.6666666666666666,0.12
Logistic L1,0.5801656314699792,0.03151276104774241,0.7366314441242394,1.0,0.1111111111111111,0.2
Logistic (No Reg),0.5701863354037267,0.1384459990145077,0.7750560358629522,1.0,0.1111111111111111,0.2
Logistic L2,0.5457142857142857,0.12078932236414673,0.7803394172270253,1.0,0.1111111111111111,0.2
PCA + Logistic,0.4796066252587992,0.10201696072024018,0.654338776817163,0.07575757575757576,0.5555555555555556,0.13333333333333333
