year,total_candidates,total_seats,avg_candidates_per_seat
2021,18044,4658,3.8737655646200087
2022,18481,5555,3.326912691269127
2023,25697,8031,3.1997260615116425
2024,10029,2659,3.7717186912373073
2025,8141,1641,4.960999390615479
