council,ward_name,seats,council_key,ward_key,majority,control_group,boundary_code,feature_index,last_result_party,last_result_year
Sunderland,Houghton South and Hetton Downs,3,sunderland,houghton south and hetton downs,REF,Reform UK,,,,
Sunderland,Hylton Castle,3,sunderland,hylton castle,REF,Reform UK,,,,
Sunderland,Pallion and Ford,3,sunderland,pallion and ford,REF,Reform UK,,,,
Sunderland,Pennywell and South Hylton,3,sunderland,pennywell and south hylton,REF,Reform UK,,,,
Sunderland,Penshaw and Shiney Row,3,sunderland,penshaw and shiney row,REF,Reform UK,,,,
Sunderland,Redhouse,3,sunderland,redhouse,REF,Reform UK,,,,
Sunderland,Roker,3,sunderland,roker,REF,Reform UK,,,,
Sunderland,Tunstall and Humbledon,3,sunderland,tunstall and humbledon,REF,Reform UK,,,,
Swindon,"Badbury Park, Eldene and Liden",3,swindon,badbury park eldene and liden,TBC,TBC,,,,
Swindon,Blunsdon,1,swindon,blunsdon,TBC,TBC,,,,
Swindon,Broadgreen,2,swindon,broadgreen,TBC,TBC,,,,
Swindon,Chiseldon and Ridgeway,2,swindon,chiseldon and ridgeway,TBC,TBC,,,,
Swindon,Covingham and Nythe,2,swindon,covingham and nythe,TBC,TBC,,,,
Swindon,Gorse Hill,1,swindon,gorse hill,TBC,TBC,,,,
Swindon,Highworth,2,swindon,highworth,TBC,TBC,,,,
Swindon,Kingshill,2,swindon,kingshill,TBC,TBC,,,,
Swindon,Lower Stratton,3,swindon,lower stratton,TBC,TBC,,,,
Swindon,"Lydiard, Freshbrook and Toothill",3,swindon,lydiard freshbrook and toothill,TBC,TBC,,,,
Swindon,Old Town and Lawn,3,swindon,old town and lawn,TBC,TBC,,,,
Swindon,Parks,2,swindon,parks,TBC,TBC,,,,
Swindon,Penhill and Pinehurst,2,swindon,penhill and pinehurst,TBC,TBC,,,,
Swindon,Queen's Park,3,swindon,queen s park,TBC,TBC,,,,
Swindon,Rodbourne Ferndale and Western,3,swindon,rodbourne ferndale and western,TBC,TBC,,,,
Swindon,Shaw and Westlea,3,swindon,shaw and westlea,TBC,TBC,,,,
Swindon,South Marston,1,swindon,south marston,TBC,TBC,,,,
Swindon,St Andrews East,2,swindon,st andrews east,TBC,TBC,,,,
Swindon,St Andrews West and Tadpole,2,swindon,st andrews west and tadpole,TBC,TBC,,,,
Swindon,Upper Stratton,2,swindon,upper stratton,TBC,TBC,,,,
Swindon,Walcot,2,swindon,walcot,TBC,TBC,,,,
Thurrock,Aveley,3,thurrock,aveley,REF,Reform UK,,,,
Thurrock,Chafford Hundred East,2,thurrock,chafford hundred east,REF,Reform UK,,,,
Thurrock,Chafford Hundred West,2,thurrock,chafford hundred west,REF,Reform UK,,,,
Thurrock,"East Tilbury, Linford and West Tilbury",2,thurrock,east tilbury linford and west tilbury,REF,Reform UK,,,,
Thurrock,Grays Town,3,thurrock,grays town,REF,Reform UK,,,,
Thurrock,"Orsett, Horndon and Bulphan",2,thurrock,orsett horndon and bulphan,REF,Reform UK,,,,
Thurrock,Purfleet-on-Thames,2,thurrock,purfleet on thames,REF,Reform UK,,,,
Thurrock,Stanford-le-Hope South,3,thurrock,stanford le hope south,REF,Reform UK,,,,
Thurrock,Stifford,2,thurrock,stifford,REF,Reform UK,,,,
Thurrock,The Homesteads and Stanford-le-Hope North,3,thurrock,the homesteads and stanford le hope north,REF,Reform UK,,,,
Thurrock,Tilbury Riverside,2,thurrock,tilbury riverside,REF,Reform UK,,,,
Wakefield,Knottingley and Ferrybridge,3,wakefield,knottingley and ferrybridge,REF,Reform UK,,,,
Walsall,"Beechdale, Leamore and Reedswood",3,walsall,beechdale leamore and reedswood,REF,Reform UK,,,,
Walsall,Bloxwich East and Blakenall Heath,3,walsall,bloxwich east and blakenall heath,REF,Reform UK,,,,
Walsall,"Harden, Goscote and Ryecroft",3,walsall,harden goscote and ryecroft,REF,Reform UK,,,,
Walsall,New Invention,3,walsall,new invention,REF,Reform UK,,,,
Walsall,Palfrey and the Delves,3,walsall,palfrey and the delves,REF,Reform UK,,,,
Walsall,Willenhall,3,walsall,willenhall,REF,Reform UK,,,,
West Surrey,Addlestone,2,west surrey,addlestone,TBC,TBC,,,,
West Surrey,Ash,2,west surrey,ash,TBC,TBC,,,,
West Surrey,Ashford,2,west surrey,ashford,TBC,TBC,,,,
West Surrey,"Bagshot, Windlesham and Chobham",2,west surrey,bagshot windlesham and chobham,TBC,TBC,,,,
West Surrey,Camberley East,2,west surrey,camberley east,TBC,TBC,,,,
West Surrey,Camberley West and Frimley,2,west surrey,camberley west and frimley,TBC,TBC,,,,
West Surrey,Chertsey,2,west surrey,chertsey,TBC,TBC,,,,
West Surrey,Cranleigh and Ewhurst,2,west surrey,cranleigh and ewhurst,TBC,TBC,,,,
West Surrey,Egham,2,west surrey,egham,TBC,TBC,,,,
West Surrey,Englefield Green and Virginia Water,2,west surrey,englefield green and virginia water,TBC,TBC,,,,
West Surrey,Farnham Central,2,west surrey,farnham central,TBC,TBC,,,,
West Surrey,Farnham North,2,west surrey,farnham north,TBC,TBC,,,,
West Surrey,Farnham South,2,west surrey,farnham south,TBC,TBC,,,,
West Surrey,Frimley Green and Mytchett,2,west surrey,frimley green and mytchett,TBC,TBC,,,,
West Surrey,Godalming North,2,west surrey,godalming north,TBC,TBC,,,,
West Surrey,"Godalming South, Milford and Witley",2,west surrey,godalming south milford and witley,TBC,TBC,,,,
West Surrey,Goldsworth East and Horsell Village,2,west surrey,goldsworth east and horsell village,TBC,TBC,,,,
West Surrey,Guildford East,2,west surrey,guildford east,TBC,TBC,,,,
West Surrey,Guildford North,2,west surrey,guildford north,TBC,TBC,,,,
West Surrey,Guildford South East,2,west surrey,guildford south east,TBC,TBC,,,,
West Surrey,Guildford South West,2,west surrey,guildford south west,TBC,TBC,,,,
West Surrey,Guildford West,2,west surrey,guildford west,TBC,TBC,,,,
West Surrey,Haslemere,2,west surrey,haslemere,TBC,TBC,,,,
West Surrey,Heatherside and Parkside,2,west surrey,heatherside and parkside,TBC,TBC,,,,
West Surrey,Horsleys,2,west surrey,horsleys,TBC,TBC,,,,
West Surrey,Knaphill and Goldsworth West,2,west surrey,knaphill and goldsworth west,TBC,TBC,,,,
West Surrey,Laleham and Shepperton,2,west surrey,laleham and shepperton,TBC,TBC,,,,
West Surrey,"Lightwater, West End and Bisley",2,west surrey,lightwater west end and bisley,TBC,TBC,,,,
West Surrey,Lower Sunbury and Halliford,2,west surrey,lower sunbury and halliford,TBC,TBC,,,,
West Surrey,Shalford,2,west surrey,shalford,TBC,TBC,,,,
West Surrey,Shere,2,west surrey,shere,TBC,TBC,,,,
West Surrey,Staines,2,west surrey,staines,TBC,TBC,,,,
West Surrey,Staines South and Ashford West,2,west surrey,staines south and ashford west,TBC,TBC,,,,
West Surrey,"Stanwell, Stanwell Moor and Ashford North",2,west surrey,stanwell stanwell moor and ashford north,TBC,TBC,,,,
West Surrey,Sunbury Common and Ashford Common,2,west surrey,sunbury common and ashford common,TBC,TBC,,,,
West Surrey,The Byfleets,2,west surrey,the byfleets,TBC,TBC,,,,
West Surrey,"Thorpe, Longcross and Ottershaw",2,west surrey,thorpe longcross and ottershaw,TBC,TBC,,,,
West Surrey,Waverley Eastern Villages,2,west surrey,waverley eastern villages,TBC,TBC,,,,
West Surrey,Waverley Western Villages,2,west surrey,waverley western villages,TBC,TBC,,,,
West Surrey,Woking North,2,west surrey,woking north,TBC,TBC,,,,
West Surrey,Woking South,2,west surrey,woking south,TBC,TBC,,,,
West Surrey,Woking South East,2,west surrey,woking south east,TBC,TBC,,,,
West Surrey,Woking South West,2,west surrey,woking south west,TBC,TBC,,,,
West Surrey,Woodham and New Haw,2,west surrey,woodham and new haw,TBC,TBC,,,,
West Surrey,Worplesdon,2,west surrey,worplesdon,TBC,TBC,,,,
West Sussex,Angmering and Findon,1,west sussex,angmering and findon,TBC,TBC,,,,
West Sussex,Arundel and Courtwick,1,west sussex,arundel and courtwick,TBC,TBC,,,,
West Sussex,Bersted,1,west sussex,bersted,TBC,TBC,,,,
West Sussex,Bewbush and Ifield West,1,west sussex,bewbush and ifield west,TBC,TBC,,,,
West Sussex,Billingshurst,1,west sussex,billingshurst,TBC,TBC,,,,
West Sussex,Bognor Regis East,1,west sussex,bognor regis east,TBC,TBC,,,,
West Sussex,Bognor Regis West and Aldwick,1,west sussex,bognor regis west and aldwick,TBC,TBC,,,,
West Sussex,Bourne,1,west sussex,bourne,TBC,TBC,,,,
West Sussex,Bramber Castle,1,west sussex,bramber castle,TBC,TBC,,,,
West Sussex,Broadbridge,1,west sussex,broadbridge,TBC,TBC,,,,
West Sussex,Broadfield,1,west sussex,broadfield,TBC,TBC,,,,
West Sussex,Broadwater,1,west sussex,broadwater,TBC,TBC,,,,
West Sussex,Burgess Hill East,1,west sussex,burgess hill east,TBC,TBC,,,,
West Sussex,Burgess Hill North,1,west sussex,burgess hill north,TBC,TBC,,,,
West Sussex,Chichester East,1,west sussex,chichester east,TBC,TBC,,,,
West Sussex,Chichester North,1,west sussex,chichester north,TBC,TBC,,,,
West Sussex,Chichester South,1,west sussex,chichester south,TBC,TBC,,,,
West Sussex,Chichester West,1,west sussex,chichester west,TBC,TBC,,,,
West Sussex,Cissbury,1,west sussex,cissbury,TBC,TBC,,,,
West Sussex,Cuckfield and Lucastes,1,west sussex,cuckfield and lucastes,TBC,TBC,,,,
West Sussex,Durrington and Salvington,1,west sussex,durrington and salvington,TBC,TBC,,,,
West Sussex,East Grinstead Meridian,1,west sussex,east grinstead meridian,TBC,TBC,,,,
West Sussex,East Grinstead South and Ashurst Wood,1,west sussex,east grinstead south and ashurst wood,TBC,TBC,,,,
West Sussex,East Preston and Ferring,1,west sussex,east preston and ferring,TBC,TBC,,,,
West Sussex,Felpham,1,west sussex,felpham,TBC,TBC,,,,
West Sussex,Fontwell,1,west sussex,fontwell,TBC,TBC,,,,
West Sussex,Goring,1,west sussex,goring,TBC,TBC,,,,
West Sussex,Hassocks and Burgess Hill South,1,west sussex,hassocks and burgess hill south,TBC,TBC,,,,
West Sussex,Haywards Heath East,1,west sussex,haywards heath east,TBC,TBC,,,,
West Sussex,Haywards Heath Town,1,west sussex,haywards heath town,TBC,TBC,,,,
West Sussex,Henfield,1,west sussex,henfield,TBC,TBC,,,,
West Sussex,Holbrook,1,west sussex,holbrook,TBC,TBC,,,,
West Sussex,Horsham East,1,west sussex,horsham east,TBC,TBC,,,,
West Sussex,Horsham Hurst,1,west sussex,horsham hurst,TBC,TBC,,,,
West Sussex,Horsham Riverside,1,west sussex,horsham riverside,TBC,TBC,,,,
West Sussex,Hurstpierpoint and Bolney,1,west sussex,hurstpierpoint and bolney,TBC,TBC,,,,
West Sussex,Imberdown,1,west sussex,imberdown,TBC,TBC,,,,
West Sussex,Lancing,1,west sussex,lancing,TBC,TBC,,,,
West Sussex,Langley Green and Ifield East,1,west sussex,langley green and ifield east,TBC,TBC,,,,
West Sussex,Lindfield and High Weald,1,west sussex,lindfield and high weald,TBC,TBC,,,,
West Sussex,Littlehampton East,1,west sussex,littlehampton east,TBC,TBC,,,,
West Sussex,Littlehampton Town,1,west sussex,littlehampton town,TBC,TBC,,,,
West Sussex,Maidenbower and Worth,1,west sussex,maidenbower and worth,TBC,TBC,,,,
West Sussex,Middleton,1,west sussex,middleton,TBC,TBC,,,,
West Sussex,Midhurst,1,west sussex,midhurst,TBC,TBC,,,,
West Sussex,Northbrook,1,west sussex,northbrook,TBC,TBC,,,,
West Sussex,Northgate and West Green,1,west sussex,northgate and west green,TBC,TBC,,,,
West Sussex,Nyetimber,1,west sussex,nyetimber,TBC,TBC,,,,
West Sussex,Petworth,1,west sussex,petworth,TBC,TBC,,,,
West Sussex,Pound Hill,1,west sussex,pound hill,TBC,TBC,,,,
West Sussex,Pulborough,1,west sussex,pulborough,TBC,TBC,,,,
West Sussex,Rother Valley,1,west sussex,rother valley,TBC,TBC,,,,
West Sussex,Rustington,1,west sussex,rustington,TBC,TBC,,,,
West Sussex,Selsey,1,west sussex,selsey,TBC,TBC,,,,
West Sussex,Shoreham North,1,west sussex,shoreham north,TBC,TBC,,,,
West Sussex,Shoreham South,1,west sussex,shoreham south,TBC,TBC,,,,
West Sussex,Sompting and North Lancing,1,west sussex,sompting and north lancing,TBC,TBC,,,,
West Sussex,Southgate and Gossops Green,1,west sussex,southgate and gossops green,TBC,TBC,,,,
West Sussex,Southwater and Nuthurst,1,west sussex,southwater and nuthurst,TBC,TBC,,,,
West Sussex,Southwick,1,west sussex,southwick,TBC,TBC,,,,
West Sussex,St Leonard's Forest,1,west sussex,st leonard s forest,TBC,TBC,,,,
West Sussex,Storrington,1,west sussex,storrington,TBC,TBC,,,,
West Sussex,Tarring,1,west sussex,tarring,TBC,TBC,,,,
West Sussex,The Witterings,1,west sussex,the witterings,TBC,TBC,,,,
West Sussex,Three Bridges,1,west sussex,three bridges,TBC,TBC,,,,
West Sussex,Tilgate and Furnace Green,1,west sussex,tilgate and furnace green,TBC,TBC,,,,
West Sussex,Worth Forest,1,west sussex,worth forest,TBC,TBC,,,,
West Sussex,Worthing East,1,west sussex,worthing east,TBC,TBC,,,,
West Sussex,Worthing Pier,1,west sussex,worthing pier,TBC,TBC,,,,
West Sussex,Worthing West,1,west sussex,worthing west,TBC,TBC,,,,
