lad,nonwhite_pct,nonwhite_british_pct,ethnic_diversity_idx
E06000001,3.5413372609326603,4.956789187550088,0.06916036336543308
E06000002,17.631077944997987,20.4979085893748,0.30882443321662456
E06000003,2.3013257159598624,3.472496887131033,0.04533043432465178
E06000004,7.963660964530781,9.698717655257308,0.15042010493046665
E06000005,5.631934394597202,9.71835689635979,0.10840623516051362
E06000006,3.504101869580784,6.364513768894285,0.06848373104023842
E06000007,6.478554127779384,11.86549937669749,0.12390872854885593
E06000008,39.646247600829774,43.13271854259699,0.5080305854946789
E06000009,5.309878827841944,9.638468792319854,0.10238783475989188
E06000010,8.248287536561891,16.123185013463765,0.1563836640460009
E06000011,2.6454129713776426,5.370015925660769,0.05198442197534647
E06000012,3.7823236731287473,7.393273745436939,0.07379601768718458
E06000013,5.676433841729332,11.273897362155536,0.10900508586899349
E06000014,7.225090104081924,12.749172916019544,0.13738920126003973
E06000015,26.20598093080914,33.77932691571907,0.4271740944466985
E06000016,59.12402223723517,66.7920156496306,0.6352885748211377
E06000017,5.215590742996346,8.959805115712546,0.10081731051968645
E06000018,34.05225022015542,42.65762355740263,0.5284195657960431
E06000019,3.092518927242397,8.882437229992728,0.060602430554326236
E06000020,11.805888661927424,17.034865233396033,0.21764433119666526
E06000021,16.51513920013624,21.46658461347917,0.2917075873346604
E06000022,7.807806255138075,14.441416893732969,0.14806981665276264
E06000023,18.906082329559524,28.364944006671365,0.3321485566430016
E06000024,4.291073183561037,9.6036986282408,0.08340540406075547
E06000025,8.803680136627827,14.208192160427513,0.16590699229914785
E06000026,6.032603562590907,10.53778877576078,0.11599293387708887
E06000027,3.8772932158134994,7.858660388734173,0.07552714726225274
E06000030,18.537686741413214,25.78284656678563,0.32115174403283564
E06000031,24.615848286734362,40.48639124588492,0.40767950621802584
E06000032,54.8088661596992,68.2448359902513,0.6457430807802066
E06000033,12.511276530979329,18.398317513905415,0.22970717286491749
E06000034,23.30149494582171,33.84395970294273,0.3917313635357992
E06000035,15.73632909537375,21.739052732036328,0.28234413381862433
E06000036,13.912764335299546,22.194133461739096,0.2521238126644958
E06000037,8.091200208117835,14.366324552329868,0.15311789063679926
E06000038,32.910120936960105,46.52428209823043,0.5099142633103337
E06000039,63.953312302839116,75.9615141955836,0.6410287975798346
E06000040,20.16065460562747,30.949139071121913,0.34361194688582675
E06000041,20.084844114432514,27.275749005645007,0.3429169255500478
E06000042,28.198286072598062,37.79418936807636,0.4575532948722546
E06000043,14.627052034802942,26.0812766372071,0.26523450670158244
E06000044,14.77108283133254,22.277296743765653,0.26664580642284297
E06000045,19.31986180298891,31.913466173871125,0.3352313671099647
E06000046,3.0186744886408134,6.2381193088374545,0.059153254452599446
E06000047,3.178902324797392,5.2539233470033535,0.062225593894788545
E06000049,5.574363295316622,10.390649293330524,0.10739333616258429
E06000050,4.700559150382613,8.827968158947666,0.09110092054810182
E06000051,3.3160592941438227,6.702265402169916,0.06486925479071881
E06000052,3.1868912248709025,6.386582618072785,0.062404100034707644
E06000053,2.4817518248175183,6.2773722627737225,0.04880482592454449
E06000054,5.666888090717237,9.94233177160795,0.10920408572361096
E06000055,24.321902129313695,35.87278106508875,0.4062054326946525
E06000056,9.755616803341365,16.476409595889223,0.18281309322261285
E06000057,2.351777793028581,3.915262379665966,0.04629466005439231
E06000058,8.66702482539762,17.637901523007535,0.16359135031743355
E06000059,2.9414089256546707,6.1409979450972125,0.05767715887022562
E06000060,20.053952607046384,27.408249830946087,0.3434366486000413
E06000061,9.695902626535716,19.53950094986969,0.1817410877299538
E06000062,14.085449928709512,24.949086612656586,0.25579647533755323
E06000063,2.3293346117531675,4.910449618303849,0.045870958560723984
E06000064,2.4082826918748594,5.409258008852877,0.047400679206413665
E06000065,3.3040341841459653,6.730409917301662,0.06464995930219664
E06000066,3.621749392438417,8.698847163925276,0.07070105215771427
E07000008,25.470571275587954,47.00838859370924,0.41835537878028806
E07000009,5.527386256167178,13.520504084864921,0.10655479994041284
E07000010,4.08057700002928,14.086335288548813,0.07949903170402839
E07000011,7.58494071845691,14.788864802689789,0.1441697479424897
E07000012,10.999463350543126,20.43709173004682,0.20344563671072435
E07000032,2.723368514468638,4.968146809926785,0.053468861527240286
E07000033,2.64980690170674,6.749719696025913,0.052090841286576706
E07000034,4.548702301869303,6.928781090684382,0.08825888434594631
E07000035,2.2296777801076395,4.485915985182079,0.04392955445571811
E07000036,4.551493251142523,7.535338505686045,0.08830432030856672
E07000037,2.5523725738164624,5.22571067245835,0.05015611797682251
E07000038,2.5842377184984757,4.260659000225483,0.05078469428201049
E07000039,6.874615226759697,9.861388355129378,0.13104591569464918
E07000040,2.636202701179528,5.842610211970323,0.0517912794387142
E07000041,9.695731674661648,17.299762063240685,0.18121791522073494
E07000042,2.154418065730873,6.220655860379226,0.04245173463332674
E07000043,3.014846063359429,5.747779174948282,0.059091102442929366
E07000044,2.48341381956041,5.807419777045629,0.048841533403495285
E07000045,2.3248913220872094,5.092654411655614,0.045757922449413124
E07000046,1.7529435945620577,3.9081539771559446,0.034633701339716105
