name,member_id,membership_start,membership_end,total_years_as_mp
Kevin Hollinrake,4474,2015-05-07,2026-02-27,10.81
Tom Tugendhat,4462,2015-05-07,2026-02-27,10.81
Geoffrey Cox,1508,2005-05-05,2026-02-27,20.82
Katie Lam,5285,2024-07-04,2026-02-27,1.65
Andrew Bowie,4601,2017-06-08,2026-02-27,8.72
Nick Timothy,5062,2024-07-04,2026-02-27,1.65
Harriett Baldwin,4107,2010-05-06,2026-02-27,15.81
Alec Shelbrooke,3997,2010-05-06,2026-02-27,15.81
Jack Rankin,5340,2024-07-04,2026-02-27,1.65
Priti Patel,4066,2010-05-06,2026-02-27,15.81
Mark Garnier,4074,2010-05-06,2026-02-27,15.81
Nus Ghani,,,,12.1
Greg Stafford,,,,12.1
