name,member_id,total_years_no_double_count,government_positions,final_post_end_date
Neil O'Brien,4679,1.98,"Parliamentary Under-Secretary (Department of Health and Social Care); Parliamentary Under Secretary of State (Department for Levelling Up, Housing and Communities); Parliamentary Under-Secretary (Housing, Communities and Local Government)",2023-11-13
Bob Blackman,4005,0.0,,
Bernard Jenkin,40,0.0,,
Alan Mak,4484,1.66,"Minister of State (Department for Business and Trade) (jointly with the Cabinet Office); Exchequer Secretary (HM Treasury); Government Whip, Lord Commissioner of HM Treasury",2024-07-05
Jesse Norman,3991,6.34,"Minister of State (Department for Transport); Minister of State (Foreign, Commonwealth and Development Office); Financial Secretary to the Treasury and Paymaster General; Financial Secretary (HM Treasury); Minister of State (Department for Transport); Parliamentary Under-Secretary (Department for Transport); Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy)",2023-11-13
Roger Gale,87,0.0,,
Oliver Dowden,4441,6.15,"Deputy Prime Minister; Secretary of State in the Cabinet Office; Chancellor of the Duchy of Lancaster; Minister without Portfolio (Cabinet Office); Secretary of State for Digital, Culture, Media and Sport; Paymaster General (HM Treasury); Minister of State (Cabinet Office); Parliamentary Secretary (Cabinet Office)",2024-07-05
Luke Evans,4781,0.0,,
Julia Lopez,4647,4.22,"Minister of State (Department for Science, Innovation and Technology); Minister of State (Department for Culture, Media and Sport); Minister on Leave (Minister of State); Minister on Leave (Minister of State); Minister of State (Department for Science, Innovation and Technology); Minister of State (Department for Culture, Media and Sport); Minister of State (Department for Digital, Culture, Media and Sport); Minister of State (Department for Digital, Culture, Media and Sport); Parliamentary Secretary (Cabinet Office)",2024-07-05
Ben Obese-Jecty,5089,0.0,,
Joe Robertson,5255,0.0,,
Robbie Moore,4861,0.64,"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs)",2024-07-05
