name,date_of_birth,age
Victoria Atkins,1976-03-22,49.9
Philip Dunne,1958-08-14,67.5
David Rutley,1961-03-07,65.0
Theresa May,1956-10-01,69.4
Helen Grant,1961-09-28,64.4
John Whittingdale,1959-10-16,66.4
Ben Bradley,1989-12-11,36.2
Flick Drummond,1962-06-16,63.7
Saqib Bhatti,1985-06-18,40.7
Nadine Dorries,1957-05-21,68.8
Pauline Latham,1948-02-04,78.1
Michael Tomlinson,1977-10-01,48.4
George Freeman,1967-07-12,58.6
Mims Davies,1975-06-02,50.7
Nigel Huddleston,1970-10-13,55.4
Simon Clarke,1984-09-28,41.4
Ben Everitt,1979-11-22,46.3
Iain Stewart,1972-09-18,53.4
Paul Beresford,1946-04-06,79.9
David T. C. Davies,1970-07-27,55.6
Craig Williams,1985-06-07,40.7
Douglas Ross,1983-01-27,43.1
David Morris,1966-01-03,60.2
Andrea Jenkyns,1974-06-16,51.7
Julian Lewis,1951-09-26,74.4
Desmond Swayne,1956-08-20,69.5
Robert Jenrick,1982-01-09,44.1
Laura Farris,1978-06-13,47.7
Aaron Bell,1980-02-25,46.0
Anne Marie Morris,1957-07-05,68.6
Scott Mann,1977-06-24,48.7
Selaine Saxby,1970-11-25,55.3
Simon Hoare,1969-06-28,56.7
Richard Fuller,1962-05-30,63.7
Stephen Barclay,1972-05-03,53.8
Lee Rowley,1980-09-11,45.5
Ranil Jayawardena,1986-09-03,39.5
Oliver Heald,1954-12-15,71.2
Jacob Rees-Mogg,1969-05-24,56.8
Bill Wiggin,1966-06-04,59.7
Duncan Baker,1979-11-15,46.3
Owen Paterson,1956-06-24,69.7
Liam Fox,1961-09-22,64.4
Justin Tomlinson,1976-11-05,49.3
Roger Gale,1943-08-20,82.5
Craig Tracey,1974-08-21,51.5
Shailesh Vara,1960-09-04,65.5
Richard Holden,1985-03-11,41.0
Kit Malthouse,1966-10-27,59.3
Andrew Bridgen,1964-10-28,61.3
James Wild,1977-01-05,49.1
James Gray,1954-11-07,71.3
Michael Ellis,1967-10-13,58.4
Andrew Lewer,1971-07-18,54.6
Chloe Smith,1982-05-17,43.8
Marcus Jones,1974-04-05,51.9
James Brokenshire,1968-01-08,58.1
Gareth Bacon,1972-04-07,53.9
Andrew Stephenson,1981-02-17,45.0
Miriam Cates,1982-08-23,43.5
Neil Hudson,1969-01-01,57.2
Paul Bristow,1979-03-27,46.9
Johnny Mercer,1981-08-17,44.5
Robert Syms,1956-08-15,69.5
Penny Mordaunt,1973-03-04,53.0
Stephen Crabb,1973-01-20,53.1
Stuart Andrew,1971-11-25,54.3
Mark Francois,1965-08-14,60.5
Alok Sharma,1967-09-07,58.5
Jacob Young,1993-02-02,33.1
Rachel Maclean,1965-10-03,60.4
Crispin Blunt,1960-07-15,65.6
Nigel Evans,1957-11-10,68.3
Rishi Sunak,1980-05-12,45.8
Kelly Tolhurst,1978-08-23,47.5
James Duddridge,1971-08-26,54.5
Andrew Rosindell,1966-03-17,60.0
Caroline Nokes,1972-06-26,53.7
Jake Berry,1978-12-29,47.2
Alexander Stafford,1987-07-19,38.6
Mark Pawsey,1957-01-16,69.1
David Simmonds,1976-02-22,50.0
Ben Spencer,1981-12-11,44.2
Ruth Edwards,1984-05-11,41.8
Alicia Kearns,1987-01-01,39.2
Kemi Badenoch,1980-01-02,46.2
John Glen,1974-04-01,51.9
Robert Goodwill,1956-12-31,69.2
