ward_code,dLab,dGrn,dRef,lab_base,lab_2026,grn_base,grn_2026,ref_base,ref_2026
E05011258,2.71,5.65,22.31,0.0,2.71,0.0,5.65,0.0,22.31
E05011270,2.88,7.34,18.04,26.92,29.8,0.0,7.34,0.0,18.04
E05011286,2.98,10.13,20.79,0.0,2.98,0.0,10.13,0.0,20.79
E05011304,2.99,21.93,10.09,0.0,2.99,11.57,33.5,0.0,10.09
E05014169,3.01,12.86,19.84,0.0,3.01,0.0,12.86,0.0,19.84
E05006634,3.33,6.15,31.84,0.0,3.33,0.0,6.15,0.0,31.84
E05011305,3.35,-8.11,16.13,0.0,3.35,19.68,11.57,0.0,16.13
E05011477,3.42,8.91,11.99,15.91,19.33,12.37,21.29,0.0,11.99
E05011132,3.91,-30.93,42.2,40.47,44.37,37.05,6.12,0.0,42.2
E05011256,3.96,-23.81,27.34,0.0,3.96,37.04,13.24,0.0,27.34
E05011284,4.16,11.18,22.56,0.0,4.16,0.0,11.18,0.0,22.56
E05011283,4.25,-0.76,24.28,0.0,4.25,8.18,7.42,0.0,24.28
E05011260,4.7,4.18,21.93,0.0,4.7,0.0,4.18,2.72,24.66
E05011257,5.69,7.01,21.89,0.0,5.69,0.0,7.01,0.0,21.89
E05011307,5.81,8.54,11.76,0.0,5.81,0.0,8.54,0.0,11.76
E05011279,5.93,4.66,24.16,0.0,5.93,0.0,4.66,0.0,24.16
E05011265,5.96,5.0,25.98,0.0,5.96,0.0,5.0,0.0,25.98
E05011269,6.89,9.68,26.6,0.0,6.89,0.0,9.68,0.0,26.6
E05013826,7.56,-1.56,8.52,34.12,41.69,9.75,8.18,0.0,8.52
E05011289,8.24,9.7,15.74,0.0,8.24,9.6,19.3,0.0,15.74
