ward_code,dLab,dGrn,dRef,lab_base,lab_2026,grn_base,grn_2026,ref_base,ref_2026
E05009324,-13.27,10.99,10.03,26.31,13.04,7.23,18.22,0.0,10.03
E05013976,-13.22,3.18,41.21,20.44,7.22,5.07,8.25,0.0,41.21
E05013713,-13.16,9.15,4.8,49.67,36.51,40.37,49.51,0.0,4.8
E05013579,-13.03,-3.44,19.0,29.12,16.09,8.62,5.18,0.0,19.0
E05013805,-13.01,9.98,11.6,32.1,19.09,4.99,14.97,0.0,11.6
E05011245,-12.99,7.29,33.81,51.47,38.48,0.0,7.29,0.0,33.81
E05011485,-12.99,22.56,9.66,46.78,33.79,13.73,36.29,0.0,9.66
E05001726,-12.95,-0.93,33.76,18.37,5.42,6.98,6.06,0.0,33.76
E05009321,-12.83,20.11,3.26,33.08,20.25,9.96,30.07,0.0,3.26
E05014026,-12.77,9.23,5.41,48.78,36.01,6.89,16.12,0.0,5.41
E05013547,-12.72,2.93,12.68,46.12,33.4,5.95,8.87,0.0,12.68
E05014130,-12.71,23.6,30.84,27.4,14.69,0.0,23.6,0.0,30.84
E05014001,-12.66,6.12,26.43,21.45,8.79,0.0,6.12,0.0,26.43
E05013979,-12.59,3.84,38.05,26.07,13.48,2.49,6.34,0.0,38.05
E05011467,-12.56,14.34,7.93,37.74,25.19,17.55,31.89,0.0,7.93
E05013799,-12.49,13.51,6.6,44.96,32.46,0.0,13.51,0.0,6.6
E05014014,-12.45,9.6,4.93,39.14,26.69,6.96,16.56,0.0,4.93
E05013900,-12.34,20.75,8.49,61.24,48.89,10.7,31.45,0.0,8.49
E05011259,-12.33,8.53,20.52,12.33,0.0,0.0,8.53,0.0,20.52
E05013678,-12.33,3.02,13.65,25.49,13.16,5.57,8.6,0.0,13.65
E05009370,-12.29,11.38,1.68,41.82,29.52,51.37,62.75,0.0,1.68
E05013676,-12.28,8.64,11.53,30.92,18.63,4.58,13.22,0.61,12.14
E05014017,-12.26,6.96,14.97,52.91,40.65,6.24,13.2,0.0,14.97
E05013773,-12.22,7.56,21.99,16.0,3.78,0.0,7.56,0.0,21.99
E05013609,-12.21,12.62,8.23,36.31,24.11,0.0,12.62,0.0,8.23
E05011267,-12.05,-6.33,20.04,16.56,4.51,12.38,6.05,0.0,20.04
E05013999,-12.02,12.77,15.64,38.79,26.77,0.0,12.77,0.78,16.42
E05013735,-12.0,7.84,7.04,57.03,45.02,0.0,7.84,0.0,7.04
E05013941,-11.94,9.44,12.3,27.34,15.39,7.34,16.78,0.0,12.3
E05011104,-11.94,9.65,3.95,47.41,35.47,10.9,20.55,0.0,3.95
E05013690,-11.94,11.68,10.79,23.97,12.03,5.43,17.1,0.7,11.49
E05013672,-11.94,14.77,8.26,32.01,20.07,5.66,20.42,0.0,8.26
E05004301,-11.94,17.33,25.55,15.85,3.91,0.0,17.33,0.0,25.55
E05011473,-11.91,17.72,9.06,47.31,35.4,10.36,28.08,0.0,9.06
E05013755,-11.88,5.04,14.9,16.08,4.2,4.14,9.19,0.0,14.9
E05013997,-11.64,2.67,27.65,20.42,8.78,4.27,6.93,0.0,27.65
E05013819,-11.59,5.24,24.75,46.92,35.33,3.67,8.91,0.0,24.75
E05014003,-11.58,4.18,20.03,20.25,8.67,0.0,4.18,0.0,20.03
E05014029,-11.55,9.45,7.68,35.97,24.42,4.36,13.81,0.0,7.68
E05013530,-11.55,7.0,8.3,41.73,30.19,14.49,21.48,0.0,8.3
E05013973,-11.52,8.09,29.33,17.44,5.92,0.0,8.09,0.0,29.33
E05014016,-11.46,2.39,4.43,30.2,18.74,9.22,11.6,0.0,4.43
E05009335,-11.45,19.81,3.58,37.25,25.8,9.05,28.86,0.0,3.58
E05009395,-11.43,0.31,5.22,20.33,8.89,3.54,3.85,0.0,5.22
E05013745,-11.41,9.76,12.78,29.32,17.9,0.0,9.76,0.0,12.78
E05013811,-11.39,7.38,12.12,28.58,17.2,2.84,10.22,0.0,12.12
E05013696,-11.36,13.2,9.25,28.01,16.65,6.77,19.97,0.0,9.25
E05013992,-11.33,-2.75,22.73,15.43,4.1,6.77,4.01,0.0,22.73
E05014118,-11.32,14.09,9.59,41.72,30.4,10.85,24.93,0.0,9.59
E05009322,-11.31,13.66,2.73,42.89,31.57,6.53,20.18,0.0,2.73
E05013681,-11.24,8.62,11.69,24.72,13.47,6.14,14.76,0.0,11.69
E05009401,-11.23,4.26,7.44,19.82,8.59,0.0,4.26,0.0,7.44
E05013641,-11.21,2.68,12.15,25.73,14.52,4.92,7.6,0.0,12.15
E05009388,-11.19,4.63,7.21,21.48,10.29,0.0,4.63,0.0,7.21
E05011095,-11.14,25.26,4.25,33.18,22.04,0.0,25.26,0.0,4.25
E05011174,-11.13,2.6,21.93,18.03,6.89,6.02,8.62,0.0,21.93
E05013535,-11.12,14.04,9.19,42.99,31.87,6.05,20.1,0.0,9.19
E05014102,-11.06,13.56,7.13,46.58,35.51,16.83,30.39,0.0,7.13
E05011291,-11.05,11.24,16.89,25.56,14.5,6.7,17.94,0.0,16.89
E05009328,-11.02,5.66,6.92,28.17,17.15,7.11,12.77,0.0,6.92
E05013764,-10.9,5.18,22.29,16.64,5.74,3.07,8.26,0.0,22.29
E05011261,-10.88,4.99,15.04,10.88,0.0,0.0,4.99,0.0,15.04
E05011106,-10.72,18.2,5.86,32.77,22.05,6.08,24.27,0.0,5.86
E05013803,-10.68,12.82,12.31,49.01,38.33,0.0,12.82,0.0,12.31
E05013889,-10.53,18.42,12.86,54.43,43.9,4.36,22.79,0.0,12.86
E05013772,-10.53,7.07,19.38,17.07,6.54,4.46,11.53,0.0,19.38
E05013657,-10.5,8.38,11.23,26.6,16.1,7.79,16.17,0.0,11.23
E05013754,-10.29,5.24,15.92,17.12,6.83,3.78,9.03,0.0,15.92
E05009393,-10.26,2.71,7.57,17.82,7.55,0.0,2.71,0.0,7.57
E05011470,-10.25,3.25,27.22,46.51,36.26,9.96,13.2,0.0,27.22
E05013578,-10.19,-0.92,22.24,25.2,15.0,8.24,7.31,0.0,22.24
E05013766,-10.18,6.56,21.27,16.87,6.69,3.92,10.47,0.0,21.27
E05013978,-10.17,10.35,40.02,19.25,9.08,0.0,10.35,0.0,40.02
E05013589,-10.1,14.29,5.73,43.31,33.21,7.18,21.47,0.0,5.73
E05013945,-10.1,13.68,13.05,16.12,6.02,0.0,13.68,0.0,13.05
E05013801,-10.09,8.93,10.69,22.82,12.74,0.0,8.93,0.0,10.69
E05013935,-10.08,10.38,18.21,14.61,4.53,0.0,10.38,0.0,18.21
E05014019,-10.02,3.36,11.35,56.06,46.04,6.93,10.29,0.0,11.35
E05013739,-9.96,6.52,11.18,27.56,17.6,0.0,6.52,0.0,11.18
E05013810,-9.95,8.71,8.1,34.02,24.07,3.92,12.63,0.0,8.1
E05013796,-9.8,13.49,6.56,45.89,36.1,0.0,13.49,0.0,6.56
E05009320,-9.8,7.15,4.17,36.29,26.5,29.06,36.21,0.0,4.17
E05011238,-9.73,-7.14,18.62,42.83,33.1,7.14,0.0,0.0,18.62
E05013760,-9.72,4.23,24.4,14.05,4.33,3.37,7.6,0.0,24.4
E05013769,-9.69,6.84,25.35,15.96,6.27,4.22,11.06,0.0,25.35
E05011479,-9.67,14.69,10.89,52.74,43.07,14.21,28.9,0.0,10.89
E05013698,-9.61,13.06,4.62,51.66,42.05,17.68,30.74,0.0,4.62
E05013797,-9.61,12.58,16.46,23.62,14.01,0.0,12.58,0.0,16.46
E05013567,-9.59,-3.53,15.38,23.47,13.88,9.07,5.54,0.0,15.38
E05013594,-9.54,12.65,5.2,38.8,29.26,9.41,22.06,0.0,5.2
E05013525,-9.46,9.8,11.1,41.67,32.21,28.79,38.59,0.0,11.1
E05013983,-9.45,12.9,34.0,25.13,15.68,2.98,15.88,0.0,34.0
E05013783,-9.45,5.74,10.79,16.76,7.31,12.02,17.76,0.0,10.79
E05013767,-9.43,10.25,14.06,15.24,5.81,0.0,10.25,0.0,14.06
E05014028,-9.39,8.17,6.7,46.79,37.4,6.91,15.08,0.0,6.7
E05013642,-9.36,4.57,10.38,20.23,10.86,3.28,7.86,0.0,10.38
E05013758,-9.07,2.88,17.84,12.07,3.0,4.6,7.48,0.0,17.84
E05013985,-8.94,14.77,39.63,17.7,8.76,0.0,14.77,0.0,39.63
E05013771,-8.9,9.91,18.15,14.46,5.56,3.2,13.11,0.0,18.15
E05013776,-8.88,2.67,6.84,13.29,4.4,20.68,23.35,0.0,6.84
E05011200,-8.85,3.92,30.29,8.85,0.0,5.68,9.59,0.0,30.29
E05013936,-8.82,12.19,0.0,16.7,7.88,0.0,12.19,0.0,0.0
E05009326,-8.81,11.72,12.1,40.18,31.37,7.89,19.61,0.0,12.1
E05013816,-8.79,7.14,7.53,18.96,10.17,0.0,7.14,0.0,7.53
E05013787,-8.74,6.65,8.77,12.41,3.67,19.43,26.09,0.0,8.77
E05014015,-8.7,16.5,9.3,29.76,21.06,4.37,20.87,0.0,9.3
E05009405,-8.67,0.0,12.25,23.13,14.46,0.0,0.0,0.0,12.25
E05011268,-8.67,4.28,34.47,12.69,4.02,0.0,4.28,0.0,34.47
E05011463,-8.63,12.07,12.87,45.5,36.86,14.56,26.63,0.0,12.87
E05013768,-8.62,10.45,18.01,14.32,5.7,0.0,10.45,0.0,18.01
E05013828,-8.59,5.51,7.57,21.17,12.58,5.94,11.45,0.0,7.57
E05013726,-8.4,15.87,5.79,44.3,35.9,16.95,32.81,0.0,5.79
E05011431,-8.36,6.67,26.53,23.56,15.2,0.0,6.67,0.0,26.53
E05013777,-8.35,6.75,11.77,10.82,2.47,21.22,27.97,0.0,11.77
E05013549,-8.34,1.33,2.32,25.92,17.58,7.15,8.48,3.77,6.09
E05013940,-8.27,0.84,5.4,14.96,6.69,10.47,11.31,0.0,5.4
E05013969,-8.1,8.16,34.38,16.6,8.5,2.08,10.24,0.0,34.38
E05013938,-8.09,8.98,11.74,19.82,11.73,10.12,19.1,0.0,11.74
