ons,year,disc_pct
E06,2024-25,15.826786309111492
E06,2025-26,15.027969618409394
E06,2026-27,14.657788802042436
E06000001,2022-23,17.255709377526273
E06000001,2023-24,17.64768775393065
E06000001,2024-25,16.453763917754387
E06000001,2025-26,15.916587020483124
E06000001,2026-27,15.846641461987794
E06000002,2022-23,13.254836797306712
E06000002,2023-24,10.027746601820676
E06000002,2024-25,9.996504593962221
E06000002,2025-26,10.825351003805276
E06000002,2026-27,12.469314120642606
E06000003,2022-23,21.438896681693098
E06000003,2023-24,20.492371367492165
E06000003,2024-25,17.80090066127982
E06000003,2025-26,17.629395653825394
E06000003,2026-27,18.052227823082337
E06000004,2022-23,18.503472771458565
E06000004,2023-24,17.531652552892176
E06000004,2024-25,16.137115609186456
E06000004,2025-26,15.59201246313308
E06000004,2026-27,14.441379876038777
E06000005,2022-23,21.15578672192988
E06000005,2023-24,22.35582735255439
E06000005,2024-25,20.501860075733635
E06000005,2025-26,19.40322985695762
E06000005,2026-27,18.7017135380086
E06000006,2022-23,4.468671727860513
E06000006,2023-24,4.955279737686907
E06000006,2024-25,10.073654094674644
E06000006,2025-26,7.832747853239656
E06000006,2026-27,13.34810596510544
E06000007,2022-23,13.413291464979771
E06000007,2023-24,16.056978650635546
E06000007,2024-25,14.822507500368415
E06000007,2025-26,14.77518374405534
E06000007,2026-27,16.856829227188463
E06000008,2022-23,12.553808974096171
E06000008,2023-24,13.686530664778942
E06000008,2024-25,13.019917344043025
E06000008,2025-26,12.903693209260393
E06000008,2026-27,11.406486942922596
E06000009,2022-23,10.268285748427
E06000009,2023-24,12.73538232025696
E06000009,2024-25,9.888588333535553
E06000009,2025-26,8.06267550108586
E06000009,2026-27,8.943146412483195
E06000010,2022-23,23.497715854877693
E06000010,2023-24,21.85167511090917
E06000010,2024-25,20.39343449243017
E06000010,2025-26,20.337435209650394
E06000010,2026-27,19.076726095993124
E06000011,2022-23,19.373780695506767
E06000011,2023-24,19.029876305533623
E06000011,2024-25,20.33558232931727
