category,year,page_type,page_title,page_url,source_text,source_url,local_path,notes
local_elections,2023,results_analysis,Local election 2023: Results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-9798/,"Data tables with election results Data tables with election results (60 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-9798/data_tables.xlsx,local_elections/2023_results_analysis/data_tables.xlsx,
local_elections,2024,handbook_dataset,2024 Local Elections Handbook and dataset,https://commonslibrary.parliament.uk/2024-local-elections-handbook-and-dataset/,Download the dataset,https://commonslibrary.parliament.uk/content/uploads/2025/03/LEH-2024-results-HoC-version.xlsx,local_elections/2024_handbook_dataset/LEH-2024-results-HoC-version.xlsx,No separate 2024 Commons Library local-election results-analysis page was located during source collection.
local_elections,2024,handbook_dataset,2024 Local Elections Handbook and dataset,https://commonslibrary.parliament.uk/2024-local-elections-handbook-and-dataset/,Download the handbook,https://commonslibrary.parliament.uk/content/uploads/2025/03/Local-Elections-Handbook-2024.pdf,local_elections/2024_handbook_dataset/Local-Elections-Handbook-2024.pdf,No separate 2024 Commons Library local-election results-analysis page was located during source collection.
local_elections,2025,handbook_dataset,2025 Local Elections Handbook and dataset,https://commonslibrary.parliament.uk/2025-local-elections-handbook-and-dataset/,Download the dataset,https://commonslibrary.parliament.uk/content/uploads/2026/03/LEH-2025-results-HoC.xlsx,local_elections/2025_handbook_dataset/LEH-2025-results-HoC.xlsx,
local_elections,2025,handbook_dataset,2025 Local Elections Handbook and dataset,https://commonslibrary.parliament.uk/2025-local-elections-handbook-and-dataset/,Download the handbook,https://commonslibrary.parliament.uk/content/uploads/2026/03/Local-Elections-Handbook-2025.pdf,local_elections/2025_handbook_dataset/Local-Elections-Handbook-2025.pdf,
local_elections,2025,results_analysis,Local Elections 2025: results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-10272/,"Download full report Download ‘Local elections 2025: Results and analysis’ report (1 MB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-10272/CBP-10272.pdf,local_elections/2025_results_analysis/CBP-10272.pdf,
local_elections,2025,results_analysis,Local Elections 2025: results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-10272/,"CBP10272 CBP10272 (12 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-10272/CBP10272.xlsx,local_elections/2025_results_analysis/CBP10272.xlsx,
national_general_elections,2017,results_analysis,General Election 2017: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-7979/,"Download full report Download ‘General Election 2017: full results and analysis’ report (15 MB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-7979/CBP-7979.pdf,national_general_elections/2017_results_analysis/CBP-7979.pdf,
national_general_elections,2017,results_analysis,General Election 2017: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-7979/,"Detailed results by candidate (csv) Detailed results by candidate (csv) (484 KB , )",https://researchbriefings.files.parliament.uk/documents/CBP-7979/HoC-GE2017-results-by-candidate.csv,national_general_elections/2017_results_analysis/HoC-GE2017-results-by-candidate.csv,
national_general_elections,2017,results_analysis,General Election 2017: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-7979/,"Detailed results by candidate (xlsx) Detailed results by candidate (xlsx) (489 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-7979/HoC-GE2017-results-by-candidate.xlsx,national_general_elections/2017_results_analysis/HoC-GE2017-results-by-candidate.xlsx,
national_general_elections,2017,results_analysis,General Election 2017: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-7979/,"Detailed results by constituency (csv) Detailed results by constituency (csv) (116 KB , )",https://researchbriefings.files.parliament.uk/documents/CBP-7979/HoC-GE2017-results-by-constituency.csv,national_general_elections/2017_results_analysis/HoC-GE2017-results-by-constituency.csv,
national_general_elections,2017,results_analysis,General Election 2017: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-7979/,"Detailed results by constituency (xlsx) Detailed results by constituency (xlsx) (157 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-7979/HoC-GE2017-results-by-constituency.xlsx,national_general_elections/2017_results_analysis/HoC-GE2017-results-by-constituency.xlsx,
national_general_elections,2019,results_analysis,General Election 2019: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-8749/,"Download full report Download ‘General Election 2019: full results and analysis’ report (20 MB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-8749/CBP-8749.pdf,national_general_elections/2019_results_analysis/CBP-8749.pdf,
national_general_elections,2019,results_analysis,General Election 2019: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-8749/,"Detailed results by candidate (csv) Detailed results by candidate (csv) (483 KB , )",https://researchbriefings.files.parliament.uk/documents/CBP-8749/HoC-GE2019-results-by-candidate.csv,national_general_elections/2019_results_analysis/HoC-GE2019-results-by-candidate.csv,
national_general_elections,2019,results_analysis,General Election 2019: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-8749/,"Detailed results by candidate (xlsx) Detailed results by candidate (xlsx) (462 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-8749/HoC-GE2019-results-by-candidate.xlsx,national_general_elections/2019_results_analysis/HoC-GE2019-results-by-candidate.xlsx,
