rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
293,Helena Dollimore,Labour and Co-operative,Hastings and Rye,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
294,Jonathan Brash,Labour,Hartlepool,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
295,Tom Gordon,Liberal Democrat,Harrogate and Knaresborough,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
296,Victoria Collins,Liberal Democrat,Harpenden and Berkhamsted,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
297,Chris Vince,Labour and Co-operative,Harlow,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
298,Douglas McAllister,Labour,West Dunbartonshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
299,Edward Morello,Liberal Democrat,West Dorset,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
300,Sarah Coombes,Labour,West Bromwich,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
301,Andrew Lewin,Labour,Welwyn Hatfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
302,Tessa Munt,Liberal Democrat,Wells and Mendip Hills,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
303,Gen Kitchen,Labour,Wellingborough and Rushden,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
304,Katie Lam,Conservative,Weald of Kent,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
305,Adrian Ramsay,Green,Waveney Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
306,Matt Turmaine,Labour,Watford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
307,Sarah Hall,Labour and Co-operative,Warrington South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
308,Lorraine Beavers,Labour,Blackpool North and Fleetwood,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
309,Adnan Hussain,Independent,Blackburn,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
310,Siân Berry,Green,Brighton Pavilion,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
311,Chris Ward,Labour,Brighton Kemptown and Peacehaven,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
312,Charlie Dewhirst,Conservative,Bridlington and The Wolds,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
313,Ashley Fox,Conservative,Bridgwater,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
314,David Chadwick,Liberal Democrat,"Brecon, Radnor and Cwm Tawe",0,0,0,0,0.0,0.0,43.8,Mixed / unclear
315,Naz Shah,Labour,Bradford West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
316,Harpreet Uppal,Labour,Huddersfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
317,John Milne,Liberal Democrat,Horsham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
318,Richard Foord,Liberal Democrat,Honiton and Sidmouth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
319,Alistair Strathern,Labour,Hitchin,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
320,Jon Pearce,Labour,High Peak,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
321,Elsie Blundell,Labour,Heywood and Middleton North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
322,Joe Morris,Labour,Hexham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
323,Joshua Robert Abraham Dean,Labour,Hertford and Stortford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
324,Rosie Wrighting,Labour,Kettering,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
325,Joe Powell,Labour,Kensington and Bayswater,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
326,Richard Quigley,Labour,Isle of Wight West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
327,Joe Robertson,Conservative,Isle of Wight East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
328,Jack Abbott,Labour and Co-operative,Ipswich,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
329,Angus MacDonald,Liberal Democrat,"Inverness, Skye and West Ross-shire",0,0,0,0,0.0,0.0,43.8,Mixed / unclear
330,Martin McCluskey,Labour,Inverclyde and Renfrewshire West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
331,Jas Athwal,Labour,Ilford South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
332,Sarah Smith,Labour,Hyndburn,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
333,Ben Obese-Jecty,Conservative,Huntingdon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
334,Mark Sewards,Labour,Leeds South West and Morley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
335,Katie White,Labour,Leeds North West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
336,Sorcha-Lucy Eastwood,Alliance,Lagan Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
337,Anneliese Midgley,Labour,Knowsley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
338,Diana Johnson,Labour,Kingston upon Hull North and Cottingham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
339,Ed Davey,Liberal Democrat,Kingston and Surbiton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
340,Lillian Jones,Labour,Kilmarnock and Loudoun,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
341,Hamish Falconer,Labour,Lincoln,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
342,Dave Robertson,Labour,Lichfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
343,Calvin Bailey,Labour,Leyton and Wanstead,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
344,James MacCleary,Liberal Democrat,Lewes,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
345,Shockat Adam,Independent,Leicester South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
346,Shivani Raja,Conservative,Leicester East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
347,Josh Simons,Labour,Makerfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
348,Joshua Reynolds,Liberal Democrat,Maidenhead,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
349,Tim Roca,Labour,Macclesfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
350,Danny Chambers,Liberal Democrat,Winchester,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
351,Paul Kohler,Liberal Democrat,Wimbledon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
352,Jess Asato,Labour,Lowestoft,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
353,Jeevun Sandher,Labour,Loughborough,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
354,Douglas Alexander,Labour and Co-operative,Lothian East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
355,Josh MacAlister,Labour,Whitehaven and Workington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
356,Gregor Poynton,Labour,Livingston,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
357,Cathal Mallaghan,Sinn Fein,Mid Ulster,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
358,Alison Bennett,Liberal Democrat,Mid Sussex,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
359,Daniel Aldridge,Labour,Weston-super-Mare,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
360,Peter Bedford,Conservative,Mid Leicestershire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
361,Susan Murray,Liberal Democrat,Mid Dunbartonshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
362,Vikki Slade,Liberal Democrat,Mid Dorset and North Poole,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
363,Jonathan Davies,Labour,Mid Derbyshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
364,Andrew Cooper,Labour,Mid Cheshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
365,Órfhlaith Begley,Sinn Fein,West Tyrone,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
366,Blake Stephenson,Conservative,Mid Bedfordshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
367,Henry Tufnell,Labour,Mid and South Pembrokeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
368,Warinder Juss,Labour,Wolverhampton West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
369,Sureena Brackenridge,Labour,Wolverhampton North East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
370,Brian Mathew,Liberal Democrat,Melksham and Devizes,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
371,Steve Yemm,Labour,Mansfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
372,Clive Jones,Liberal Democrat,Wokingham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
373,Will Forster,Liberal Democrat,Woking,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
374,Torcuil Crichton,Labour,Na h-Eileanan an Iar,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
375,Pamela Nash,Labour,"Motherwell, Wishaw and Carluke",0,0,0,0,0.0,0.0,43.8,Mixed / unclear
376,Gideon Amos,Liberal Democrat,Taunton and Wellington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
377,Torsten Bell,Labour,Swansea West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
378,Will Stone,Labour,Swindon North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
379,Jessica Toale,Labour,Bournemouth West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
380,Tom Hayes,Labour,Bournemouth East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
381,Richard Tice,Reform UK,Boston and Skegness,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
382,Charles Maynard,Liberal Democrat,Witney,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
383,Phil Brickell,Labour,Bolton West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
384,Kirith Entwistle,Labour,Bolton North East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
385,Natalie Fleet,Labour,Bolsover,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
386,Alison Griffiths,Conservative,Bognor Regis and Littlehampton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
387,Matthew Patrick,Labour,Wirral West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
388,Nick Timothy,Conservative,West Suffolk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
389,Ashley Dalton,Labour,West Lancashire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
390,Chris Webb,Labour,Blackpool South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
391,Lizzi Collinge,Labour,Morecambe and Lunesdale,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
392,Graham Leadbitter,Scottish National Party,"Moray West, Nairn and Strathspey",0,0,0,0,0.0,0.0,43.8,Mixed / unclear
393,Steve Witherden,Labour,Montgomeryshire and Glyndwr,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
394,Catherine Fookes,Labour,Monmouthshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
395,James Asser,Labour,West Ham and Beckton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
396,Chris Curtis,Labour,Milton Keynes North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
397,Emily Darlington,Labour,Milton Keynes Central,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
398,Kirsty McNeill,Labour and Co-operative,Midlothian,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
399,Luke Myer,Labour,Middlesbrough South and East Cleveland,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
400,Ben Maguire,Liberal Democrat,North Cornwall,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
401,Paul Maskey,Sinn Fein,Belfast West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
402,Irene Campbell,Labour,North Ayrshire and Arran,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
403,Jim Allister,Traditional Unionist Voice,North Antrim,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
404,Alan Strickland,Labour,Newton Aycliffe and Spennymoor,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
405,Martin Wrigley,Liberal Democrat,Newton Abbot,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
406,Dáire Hughes,Sinn Fein,Newry and Armagh,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
407,John Finucane,Sinn Fein,Belfast North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
408,Adam Jogee,Labour,Newcastle-under-Lyme,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
409,Liam Conlon,Labour,Beckenham and Penge,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
410,Marsha De Cordova,Labour,Battersea,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
411,Lee Dillon,Liberal Democrat,Newbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
412,Rachel Taylor,Labour,North Warwickshire and Bedworth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
413,Sadik Al-Hassan,Labour,North Somerset,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
414,Helen Morgan,Liberal Democrat,North Shropshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
415,David Smith,Labour,North Northumberland,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
416,Steffan Aquarone,Liberal Democrat,North Norfolk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
417,Ellie Chowns,Green,North Herefordshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
418,Dan Norris,Labour,North East Somerset and Hanham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
419,Chris Hinchliff,Labour,North East Hertfordshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
420,Alex Brewer,Liberal Democrat,North East Hampshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
421,Kirsteen Sullivan,Labour and Co-operative,Bathgate and Linlithgow,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
422,Louise Jones,Labour,North East Derbyshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
423,Luke Akehurst,Labour,North Durham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
424,Alex Easton,Independent,North Down,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
425,Ian Roome,Liberal Democrat,North Devon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
426,Jo White,Labour,Bassetlaw,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
427,Sarah Edwards,Labour,Tamworth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
428,Louie French,Conservative,Old Bexley and Sidcup,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
429,Jodie Gosling,Labour,Nuneaton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
430,Kenneth Stevenson,Labour,Airdrie and Shotts,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
431,Josh Newbury,Labour,Cannock Chase,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
432,Alice Macdonald,Labour and Co-operative,Norwich North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
433,Mike Reader,Labour,Northampton South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
434,Lucy Rigby,Labour,Northampton North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
435,Amanda Hack,Labour,North West Leicestershire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
436,Perran Moon,Labour,Camborne and Redruth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
437,Josh Fenton-Glynn,Labour,Calder Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
438,Sam Carling,Labour,North West Cambridgeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
439,Fred Thomas,Labour,Plymouth Moor View,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
440,Andrew Pakes,Labour and Co-operative,Peterborough,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
441,Markus Campbell-Savours,Labour,Penrith and Solway,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
442,Marie Tidball,Labour,Penistone and Stocksbridge,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
443,Jonathan Hinder,Labour,Pendle and Clitheroe,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
444,Miatta Fahnbulleh,Labour and Co-operative,Peckham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
445,Johanna Baxter,Labour,Paisley and Renfrewshire South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
446,Alison Taylor,Labour,Paisley and Renfrewshire North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
447,Ann Davies,Plaid Cymru,Caerfyrddin,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
448,Jade Botterill,Labour,Ossett and Denby Dale,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
449,Dan Tomlinson,Labour,Chipping Barnet,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
450,Sarah Gibson,Liberal Democrat,Chippenham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
451,Jess Brown-Fuller,Liberal Democrat,Chichester,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
452,Rebecca Paul,Conservative,Reigate,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
453,Chris Bloore,Labour,Redditch,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
454,Aphra Brandreth,Conservative,Chester South and Eddisbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
455,Olivia Bailey,Labour,Reading West and Mid Berkshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
456,Samantha Dixon,Labour,Chester North and Neston,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
457,Sarah Green,Liberal Democrat,Chesham and Amersham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
458,Georgia Gould,Labour,Queen's Park and Maida Vale,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
459,Max Wilkinson,Liberal Democrat,Cheltenham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
460,Luke Murphy,Labour,Basingstoke,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
461,Ben Coleman,Labour,Chelsea and Fulham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
462,Michelle Scrogham,Labour,Barrow and Furness,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
463,Sam Rushworth,Labour,Bishop Auckland,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
464,Al Carns,Labour,Birmingham Selly Oak,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
465,Ayoub Khan,Independent,Birmingham Perry Barr,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
466,Laurence Turner,Labour,Birmingham Northfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
467,Marie Goldman,Liberal Democrat,Chelmsford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
468,Tom Morrison,Liberal Democrat,Cheadle,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
469,Paulette Hamilton,Labour,Birmingham Erdington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
470,Preet Gill,Labour and Co-operative,Birmingham Edgbaston,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
471,Tristan Osborne,Labour,Chatham and Aylesford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
472,Calum Miller,Liberal Democrat,Bicester and Woodstock,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
473,Daniel Francis,Labour,Bexleyheath and Crayford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
474,Patrick Spencer,Conservative,Central Suffolk and North Ipswich,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
475,Amanda Martin,Labour,Portsmouth North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
476,Neil Duncan-Jordan,Labour,Poole,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
477,Michael Shanks,Labour,Rutherglen,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
478,James Naish,Labour,Rushcliffe,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
479,Lee Barron,Labour,Corby and East Northamptonshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
480,John Slinger,Labour,Rugby,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
481,Jake Richards,Labour,Rother Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
482,Andy MacNae,Labour,Rossendale and Darwen,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
483,Sarah Russell,Labour,Congleton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
484,Lauren Edwards,Labour,Rochester and Strood,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
485,Paul Waugh,Labour and Co-operative,Rochdale,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
486,Paul Davies,Labour,Colne Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
487,Maya Ellis,Labour,Ribble Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
488,Pam Cox,Labour,Colchester,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
489,Simon Lightwood,Labour and Co-operative,Wakefield and Rothwell,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
490,Frank McNally,Labour,Coatbridge and Bellshill,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
491,Kanishka Narayan,Labour,Vale of Glamorgan,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
492,Danny Beales,Labour,Uxbridge and South Ruislip,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
493,Gill German,Labour,Clwyd North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
494,Becky Gittins,Labour,Clwyd East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
495,Mike Martin,Liberal Democrat,Tunbridge Wells,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
496,Jayne Kirkham,Labour and Co-operative,Truro and Falmouth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
497,Nigel Farage,Reform UK,Clacton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
498,Steve Darling,Liberal Democrat,Torbay,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
499,Rachel Blake,Labour and Co-operative,Cities of London and Westminster,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
500,Julia Buckley,Labour,Shrewsbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
501,Anna Dixon,Labour,Shipley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
502,Michelle Welsh,Labour,Sherwood Forest,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
503,Iqbal Mohamed,Independent,Dewsbury and Batley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
504,John Whitby,Labour,Derbyshire Dales,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
505,Abtisam Mohamed,Labour,Sheffield Central,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
506,Keir Mather,Labour,Selby,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
507,Baggy Shanker,Labour and Co-operative,Derby South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
508,Alison Hume,Labour,Scarborough and Whitby,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
509,Catherine Atkinson,Labour,Derby North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
510,Jim Dickson,Labour,Dartford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
511,Lola McEvoy,Labour,Darlington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
512,Anna Gelderd,Labour,South East Cornwall,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
513,Chris Hazzard,Sinn Fein,South Down,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
514,Lloyd Hatton,Labour,South Dorset,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
515,Caroline Voaden,Liberal Democrat,South Devon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
516,Samantha Niblett,Labour,South Derbyshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
517,Roz Savage,Liberal Democrat,South Cotswolds,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
518,Pippa Heylings,Liberal Democrat,South Cambridgeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
519,James McMurdock,Reform UK,South Basildon and East Thurrock,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
520,Robin Swann,Ulster Unionist Party,South Antrim,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
521,Neil Shastri-Hurst,Conservative,Solihull West and Shirley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
522,Gurinder Josan,Labour,Smethwick,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
523,Margaret Mullane,Labour,Dagenham and Rainham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
524,Katrina Murray,Labour,Cumbernauld and Kirkintilloch,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
525,Kevin McKenna,Labour,Sittingbourne and Sheppey,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
526,Natasha Irons,Labour,Croydon East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
527,David Burton-Sampson,Labour,Southend West and Leigh,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
528,Bayo Alaba,Labour,Southend East and Rochford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
529,Satvir Kaur,Labour,Southampton Test,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
530,Darren Paffey,Labour,Southampton Itchen,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
531,Connor Naismith,Labour,Crewe and Nantwich,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
532,Terry Jermy,Labour,South West Norfolk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
533,Rebecca Smith,Conservative,South West Devon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
534,Peter Lamb,Labour,Crawley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
535,Emma Foody,Labour and Co-operative,Cramlington and Killingworth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
536,Paul Foster,Labour,South Ribble,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
537,Sarah Bool,Conservative,South Northamptonshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
538,Ben Goldsborough,Labour,South Norfolk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
539,Chris McDonald,Labour,Stockton North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
540,Chris Kane,Labour,Stirling and Strathallan,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
541,Kevin Bonavia,Labour,Stevenage,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
542,Melanie Ward,Labour,Cowdenbeath and Kirkcaldy,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
543,Leigh Ingham,Labour,Stafford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
544,Ian Sollom,Liberal Democrat,St Neots and Mid Cambridgeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
545,Andrew George,Liberal Democrat,St Ives,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
546,David Baines,Labour,St Helens North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
547,Noah Law,Labour,St Austell and Newquay,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
548,Liz Saville Roberts,Plaid Cymru,Dwyfor Meirionnydd,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
549,Kim Leadbeater,Labour,Spen Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
550,Lincoln Jopp,Conservative,Spelthorne,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
551,Patrick Hurley,Labour,Southport,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
