rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
118,Peter Dowd,Labour,Bootle,339,12,114,129,0.035398230088495575,-0.06172839506172839,54.9,Mixed / unclear
119,Hilary Benn,Labour,Leeds South,502,47,104,167,0.09362549800796813,-0.23247232472324722,54.8,Mixed / unclear
120,Seema Malhotra,Labour and Co-operative,Feltham and Heston,315,12,86,101,0.0380952380952381,-0.08021390374331551,54.8,Mixed / unclear
121,Tahir Ali,Labour,Birmingham Hall Green and Moseley,13,0,25,13,0.0,0.3157894736842105,54.8,Mixed / unclear
122,Tan Dhesi,Labour,Slough,194,11,67,90,0.05670103092783505,-0.1464968152866242,54.7,Mixed / unclear
123,Kim Johnson,Labour,Liverpool Riverside,96,14,89,158,0.14583333333333334,-0.2793522267206478,54.6,Mixed / unclear
124,Andrew Gwynne,Labour and Co-operative,Gorton and Denton,415,12,138,151,0.02891566265060241,-0.04498269896193772,54.6,Mixed / unclear
125,Rachel Hopkins,Labour,Luton South and South Bedfordshire,136,2,85,82,0.014705882352941176,0.017964071856287425,54.5,Mixed / unclear
126,Mike Amesbury,Labour,Runcorn and Helsby,234,5,68,71,0.021367521367521368,-0.02158273381294964,54.5,Mixed / unclear
127,David Davis,Conservative,Goole and Pocklington,1107,85,169,261,0.07678410117434507,-0.21395348837209302,54.4,Mixed / unclear
128,Jerome Mayhew,Conservative,Broadland and Fakenham,118,18,40,73,0.15254237288135594,-0.2920353982300885,54.3,Mixed / unclear
129,Stephen Morgan,Labour,Portsmouth South,91,4,45,56,0.04395604395604396,-0.10891089108910891,54.3,Mixed / unclear
130,John Lamont,Conservative,"Berwickshire, Roxburgh and Selkirk",238,60,48,89,0.25210084033613445,-0.29927007299270075,54.3,Mixed / unclear
131,Mark Francois,Conservative,Rayleigh and Wickford,224,5,55,59,0.022321428571428572,-0.03508771929824561,54.1,Mixed / unclear
132,Justin Madders,Labour,Ellesmere Port and Bromborough,407,12,184,210,0.029484029484029485,-0.06598984771573604,53.9,Mixed / unclear
133,Bambos Charalambous,Labour,Southgate and Wood Green,247,21,120,197,0.08502024291497975,-0.24290220820189273,53.9,Mixed / unclear
134,Andrew Griffith,Conservative,Arundel and South Downs,151,11,58,92,0.0728476821192053,-0.22666666666666666,53.7,Mixed / unclear
135,Brendan O'Hara,Scottish National Party,"Argyll, Bute and South Lochaber",261,29,115,207,0.1111111111111111,-0.2857142857142857,53.7,Mixed / unclear
136,Emily Thornberry,Labour,Islington South and Finsbury,406,37,158,271,0.09113300492610837,-0.2634032634032634,53.6,Mixed / unclear
137,Chi Onwurah,Labour,Newcastle upon Tyne Central and West,426,16,187,235,0.03755868544600939,-0.11374407582938388,53.5,Mixed / unclear
138,Nia Griffith,Labour,Llanelli,175,7,58,75,0.04,-0.12781954887218044,53.3,Mixed / unclear
