ward_code,ward_name,ward_name_welsh,council,area_sq_km,canvassing_events,events_per_sq_km,has_canvassing_event,rank_by_events_per_sq_km,rank_by_events
W05001347,Prestatyn North,Gogledd Prestatyn,Denbighshire,1.8630524596252442,4,2.14701415375314,True,81,98
W05001070,West Cross,West Cross,Swansea,2.3323719716339113,5,2.1437403899590333,True,82,70
W05001372,Pontnewydd,Pontnewydd,Torfaen,2.393433767074585,5,2.089048825491977,True,83,70
W05001430,Tudno,Tudno,Conwy,2.423386096862793,5,2.063228804717818,True,84,70
W05001414,Glyn,Glyn,Conwy,2.9139486506652834,6,2.0590616786023803,True,85,61
W05001382,Castleland,Castleland,Vale of Glamorgan,2.43845659085083,5,2.0504773465150725,True,86,70
W05001753,Queensway,Queensway,Wrexham,0.49348466032409666,1,2.026405439519131,True,87,289
W05001758,Smithfield,Smithfield,Wrexham,0.5131364340362549,1,1.9487994491721212,True,88,289
W05001248,Oldcastle,Hengastell,Bridgend,3.7053295798721315,7,1.8891706794518304,True,89,48
W05001733,Gwenfro,Gwenfro,Wrexham,1.073046185333252,2,1.8638526722676596,True,90,192
W05001296,Trowbridge,Trowbridge,Cardiff,8.73235608895874,16,1.8322660960001993,True,91,11
W05001412,Eirias,Eirias,Conwy,2.1959815641174316,4,1.8215089167233542,True,92,98
W05001443,Fishguard: North West,Gogledd-orllewin Abergwaun,Pembrokeshire,1.6645871655197144,3,1.8022486669019495,True,93,126
W05001688,Bryn-coch South,De Bryn-coch,Neath Port Talbot,1.695858536655426,3,1.7690154780932397,True,94,126
W05001710,Sandfields East,Dwyrain Sandfields,Neath Port Talbot,1.696076298034668,3,1.7687883519604963,True,95,126
W05001571,Argoed and New Brighton,Argoed a New Brighton,Flintshire,6.323017417831421,11,1.7396757391461724,True,96,22
W05001759,Stansty,Stansty,Wrexham,0.5811266399383545,1,1.7207953159849623,True,97,289
W05001518,Canol Bethesda,Canol Bethesda,Gwynedd,0.6012963917770385,1,1.6630733423239987,True,98,289
W05001761,Wynnstay,Wynnstay,Wrexham,0.6106799390029907,1,1.6375189950281022,True,99,289
W05001232,Brackla West,Gorllewin Bracla,Bridgend,0.6122164514503479,1,1.6334092258236257,True,100,289
W05001375,St. Dials,St. Dials,Torfaen,1.8898104510879516,3,1.5874607944267212,True,101,126
W05001371,Panteg,Pant-teg,Torfaen,3.2193772740325928,5,1.553095389077217,True,102,70
W05001746,New Broughton,New Broughton,Wrexham,1.334538473953247,2,1.498645441128036,True,103,192
W05001663,Morgan Jones,Morgan,Caerphilly,2.673468634010315,4,1.4961836279335106,True,104,98
W05001291,Radyr,Radur,Cardiff,4.686416474189758,7,1.4936786003873548,True,105,48
W05001445,Haverfordwest: Castle,Hwlffordd: Y Castell,Pembrokeshire,0.6769655618591308,1,1.4771800167407765,True,106,289
W05001577,Buckley: Bistre West,Bwcle: Gorllewin Bistre,Flintshire,1.3715867870178222,2,1.4581651113368537,True,107,192
W05001500,Parc a'r Mynydd,Parc a'r Mynydd,Isle of Anglesey,2.762407013618469,4,1.4480125413381468,True,108,98
W05001093,Penrhiw-ceibr,Penrhiw-ceibr,Rhondda Cynon Taf,2.1317002668571474,3,1.4073273089293281,True,109,126
W05001077,Church Village,Pentre'r Eglwys,Rhondda Cynon Taf,2.8798678023872375,4,1.3889526445221687,True,110,98
W05001729,Esclusham,Esclusham,Wrexham,2.2029120956802366,3,1.3618337317602456,True,111,126
W05001064,Sketty,Sgeti,Swansea,6.778168593082428,9,1.3277922902633463,True,112,33
W05001056,Mumbles,Y Mwmbwls,Swansea,4.563438583751679,6,1.3147980168645768,True,113,61
W05001041,Castle,Y Castell,Swansea,2.2964684600639345,3,1.3063536696325797,True,114,126
W05001790,Pen Y Fal,Pen-y-fâl,Monmouthshire,0.7968402532653809,1,1.2549566815959516,True,115,289
W05001292,Rhiwbina,Rhiwbeina,Cardiff,6.41183344493103,8,1.2476930457893471,True,116,42
W05001427,Pen-sarn Pentre Mawr,Pen-sarn Pentre Mawr,Conwy,4.0240447629013065,5,1.242530909719562,True,117,70
W05001587,Flint: Castle,Y Fflint: Y Castell,Flintshire,1.6218012339782715,2,1.2331967432864808,True,118,192
W05001284,Llanishen,Llanisien,Cardiff,3.2565706628990174,4,1.2282859529414227,True,119,98
W05001065,St Thomas,St Thomas,Swansea,3.3289407789382937,4,1.201583406141496,True,120,98
W05001302,Aberystwyth Rheidol,Aberystwyth Rheidol,Ceredigion,0.8348708900299072,1,1.1977899959647382,True,121,289
W05001390,Llandough,Llandochau,Vale of Glamorgan,1.690320946537018,2,1.1832072507279907,True,122,192
W05001282,Llandaff,Llandaf,Cardiff,2.5604376723937987,3,1.1716746837251644,True,123,126
